,Date,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,315.982,323.387,354.312,332.659
,,,,,
Fr,8/22/2025,312.607,323.832,354.906,332.759
Th,8/21/2025,328.044,324.3,355.543,332.858
We,8/20/2025,323.629,324.451,356.036,332.897
Tu,8/19/2025,321.234,324.772,356.427,332.928
Mo,8/18/2025,318.808,325.14,356.636,332.957
,,,,,
Fr,8/15/2025,318.709,325.728,356.795,332.996
Th,8/14/2025,317.571,326.262,356.969,333.063
We,8/13/2025,316.066,326.808,357.287,333.125
Tu,8/12/2025,318.785,327.429,357.554,333.208
Mo,8/11/2025,325.637,328.075,357.738,333.252
,,,,,
Fr,8/8/2025,323.291,328.597,357.957,333.251
Th,8/7/2025,328.079,329.205,358.154,333.246
We,8/6/2025,327.882,329.68,358.338,333.237
Tu,8/5/2025,329.856,330.504,358.612,333.215
Mo,8/4/2025,326.223,331.168,358.746,333.201
,,,,,
Fr,8/1/2025,336.351,331.955,358.918,333.208
Th,7/31/2025,323.145,332.199,358.959,333.177
We,7/30/2025,320.92,332.716,358.992,333.208
Tu,7/29/2025,318.878,333.246,359.07,333.257
Mo,7/28/2025,314.832,333.857,359.047,333.335
,,,,,
Fr,7/25/2025,313.938,334.613,359.044,333.411
Th,7/24/2025,314.134,335.201,359.077,333.525
We,7/23/2025,312.115,335.968,359.023,333.618
Tu,7/22/2025,317.778,337.459,359.037,333.74
Mo,7/21/2025,317.087,338.783,358.912,333.797
,,,,,
Fr,7/18/2025,316.27,340.252,358.793,333.861
Th,7/17/2025,316.431,341.862,358.679,333.812
We,7/16/2025,324.827,343.34,358.541,333.792
Tu,7/15/2025,325.299,344.691,358.217,333.722
Mo,7/14/2025,318.743,346.375,357.882,333.662
,,,,,
Fr,7/11/2025,316.821,348.15,357.6,333.613
Th,7/10/2025,311.461,349.911,357.346,333.577
We,7/9/2025,312.252,351.837,357.148,333.611
Tu,7/8/2025,318.775,353.693,356.976,333.652
Mo,7/7/2025,317.293,355.411,356.754,333.669
,,,,,
Th,7/3/2025,308.167,357.369,356.544,333.708
We,7/2/2025,314.215,359.872,356.458,333.826
Tu,7/1/2025,316.456,362.426,356.283,333.94
Mo,6/30/2025,318.045,364.581,356.078,334.077
,,,,,
