,,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,49.644,51.531,57.02,53.564
,,,,,
Fr,8/22/2025,49.065,51.615,57.132,53.585
Th,8/21/2025,51.588,51.699,57.256,53.604
We,8/20/2025,50.752,51.729,57.351,53.616
Tu,8/19/2025,50.388,51.793,57.436,53.626
Mo,8/18/2025,50.035,51.865,57.512,53.635
,,,,,
Fr,8/15/2025,50.036,51.977,57.58,53.645
Th,8/14/2025,49.961,52.08,57.652,53.659
We,8/13/2025,49.718,52.18,57.748,53.672
Tu,8/12/2025,50.104,52.292,57.833,53.69
Mo,8/11/2025,51.492,52.414,57.857,53.701
,,,,,
Fr,8/8/2025,51.044,52.506,57.885,53.703
Th,8/7/2025,51.977,52.607,57.914,53.704
We,8/6/2025,52.03,52.682,57.945,53.702
Tu,8/5/2025,52.519,52.832,57.998,53.698
Mo,8/4/2025,51.886,52.94,58.028,53.694
,,,,,
Fr,8/1/2025,53.94,53.071,58.065,53.693
Th,7/31/2025,51.339,53.098,58.071,53.684
We,7/30/2025,50.837,53.171,58.072,53.689
Tu,7/29/2025,50.934,53.248,58.083,53.699
Mo,7/28/2025,50.25,53.33,58.072,53.713
,,,,,
Fr,7/25/2025,50.044,53.44,58.066,53.726
Th,7/24/2025,50.139,53.52,58.069,53.746
We,7/23/2025,50.115,53.627,58.059,53.762
Tu,7/22/2025,51.105,53.862,58.058,53.783
Mo,7/21/2025,50.99,54.067,58.034,53.791
,,,,,
Fr,7/18/2025,50.805,54.316,58.01,53.799
Th,7/17/2025,50.658,54.595,57.99,53.807
We,7/16/2025,51.95,54.856,57.968,53.819
Tu,7/15/2025,52.14,55.103,57.916,53.823
Mo,7/14/2025,50.943,55.41,57.861,53.827
,,,,,
Fr,7/11/2025,50.536,55.734,57.817,53.833
Th,7/10/2025,49.847,56.063,57.78,53.819
We,7/9/2025,50.05,56.412,57.75,53.816
Tu,7/8/2025,51.234,56.739,57.725,53.813
Mo,7/7/2025,50.89,57.043,57.692,53.803
,,,,,
Th,7/3/2025,49.305,57.401,57.663,53.798
We,7/2/2025,50.178,57.86,57.655,53.806
Tu,7/1/2025,50.559,58.332,57.633,53.814
Mo,6/30/2025,51.057,58.721,57.606,53.826
,,,,,
Fr,6/27/2025,51.991,59.135,57.576,53.829
Th,6/26/2025,52.492,59.492,57.544,53.84
We,6/25/2025,53.402,59.862,57.505,53.836
Tu,6/24/2025,52.799,60.253,57.453,53.829
Mo,6/23/2025,54.692,60.693,57.408,53.825
,,,,,
Fr,6/20/2025,56.013,60.959,57.343,53.798
We,6/18/2025,56.101,61.46,57.271,53.766
Tu,6/17/2025,56.819,61.868,57.191,53.735
Mo,6/16/2025,54.284,62.176,57.1,53.697
,,,,,
Fr,6/13/2025,55.892,62.433,57.039,53.673
Th,6/12/2025,53.846,62.509,56.955,53.64
We,6/11/2025,53.267,62.648,56.906,53.626
Tu,6/10/2025,53.087,62.812,56.866,53.613
Mo,6/9/2025,53.913,62.973,56.823,53.603
,,,,,
Fr,6/6/2025,54.006,63.078,56.791,53.588
Th,6/5/2025,55.661,63.159,56.769,53.573
We,6/4/2025,55.16,63.183,56.727,53.555
Tu,6/3/2025,54.959,63.224,56.679,53.556
Mo,6/2/2025,55.341,63.315,56.631,53.569
,,,,,
Fr,5/30/2025,56.16,63.373,56.572,53.59
Th,5/29/2025,56.131,63.3,56.495,53.598
