,Date,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,15.09,16.98,19.52,17.91
,,,,,
Fr,8/22/2025,15.15,17.07,19.55,17.94
Th,8/21/2025,15.44,17.15,19.58,17.96
We,8/20/2025,15.4,17.22,19.59,17.98
Tu,8/19/2025,14.82,17.3,19.59,17.99
Mo,8/18/2025,14.9,17.39,19.59,18.01
,,,,,
Fr,8/15/2025,15.22,17.48,19.6,18.03
Th,8/14/2025,15.33,17.58,19.6,18.05
We,8/13/2025,15.95,17.67,19.61,18.07
Tu,8/12/2025,16.35,17.76,19.62,18.08
Mo,8/11/2025,16.94,17.82,19.62,18.09
,,,,,
Fr,8/8/2025,16.36,17.87,19.63,18.1
Th,8/7/2025,16.95,17.94,19.64,18.11
We,8/6/2025,16.42,18.02,19.64,18.11
Tu,8/5/2025,16.68,18.14,19.65,18.11
Mo,8/4/2025,17.07,18.24,19.65,18.12
,,,,,
Fr,8/1/2025,17.3,18.34,19.65,18.12
Th,7/31/2025,16.04,18.43,19.65,18.12
We,7/30/2025,16.48,18.54,19.65,18.12
Tu,7/29/2025,16.61,18.64,19.65,18.13
Mo,7/28/2025,16.79,18.74,19.66,18.14
,,,,,
Fr,7/25/2025,17.05,18.82,19.66,18.14
Th,7/24/2025,17.82,18.87,19.66,18.14
We,7/23/2025,18.44,18.94,19.64,18.14
Tu,7/22/2025,19.08,19.01,19.62,18.14
Mo,7/21/2025,17.78,19.08,19.59,18.14
,,,,,
Fr,7/18/2025,16.73,19.19,19.58,18.14
Th,7/17/2025,16.91,19.35,19.58,18.15
We,7/16/2025,17.27,19.47,19.58,18.16
Tu,7/15/2025,16.37,19.55,19.57,18.17
Mo,7/14/2025,16.99,19.66,19.57,18.18
,,,,,
Fr,7/11/2025,16.94,19.75,19.58,18.19
Th,7/10/2025,16.04,19.85,19.59,18.19
We,7/9/2025,15.86,19.99,19.6,18.19
Tu,7/8/2025,16.2,20.14,19.61,18.2
Mo,7/7/2025,16.91,20.32,19.63,18.2
,,,,,
Th,7/3/2025,16.19,20.49,19.63,18.21
We,7/2/2025,16.87,20.73,19.63,18.21
Tu,7/1/2025,16.76,20.96,19.63,18.21
Mo,6/30/2025,17.31,21.1,19.63,18.2
,,,,,
Fr,6/27/2025,16.49,21.29,19.63,18.2
Th,6/26/2025,16.65,21.39,19.63,18.19
We,6/25/2025,17.33,21.54,19.62,18.19
Tu,6/24/2025,18.28,21.76,19.61,18.19
Mo,6/23/2025,19.02,21.92,19.58,18.18
,,,,,
Fr,6/20/2025,19.27,22.03,19.54,18.17
We,6/18/2025,19.58,22.12,19.5,18.15
Tu,6/17/2025,20.41,22.13,19.45,18.14
Mo,6/16/2025,19.87,22.16,19.4,18.12
,,,,,
Fr,6/13/2025,21.16,22.13,19.35,18.11
Th,6/12/2025,19.7,22.06,19.3,18.1
We,6/11/2025,19.16,22.03,19.25,18.09
Tu,6/10/2025,19,22,19.21,18.08
Mo,6/9/2025,19.45,21.95,19.17,18.08
,,,,,
Fr,6/6/2025,19.16,21.88,19.13,18.07
Th,6/5/2025,19.69,21.8,19.09,18.07
We,6/4/2025,19.82,21.71,19.05,18.07
Tu,6/3/2025,20.1,21.63,19,18.06
Mo,6/2/2025,20.6,21.55,18.95,18.06
,,,,,
Fr,5/30/2025,19.1,21.47,18.89,18.05
Th,5/29/2025,19.65,21.42,18.84,18.06
We,5/28/2025,19.69,21.38,18.8,18.05
Tu,5/27/2025,21.12,21.33,18.75,18.04
,,,,,
Fr,5/23/2025,22.28,21.25,18.68,18.03
Th,5/22/2025,21.55,21.16,18.61,18.01
We,5/21/2025,22.23,21.06,18.55,18.01
Tu,5/20/2025,21.95,20.96,18.47,17.99
Mo,5/19/2025,21.37,20.86,18.41,17.97
,,,,,
Fr,5/16/2025,21.47,20.76,18.35,17.96
Th,5/15/2025,21.63,20.67,18.29,17.93
We,5/14/2025,20.78,20.57,18.24,17.9
Tu,5/13/2025,19.58,20.5,18.19,17.87
Mo,5/12/2025,21.38,20.45,18.15,17.85
,,,,,
Fr,5/9/2025,21.86,20.33,18.09,17.82
Th,5/8/2025,22.58,20.23,18.03,17.79
We,5/7/2025,22.99,20.1,17.97,17.76
Tu,5/6/2025,24.72,19.98,17.9,17.73
Mo,5/5/2025,23.2,19.82,17.81,17.68
,,,,,
Fr,5/2/2025,21.35,19.68,17.73,17.65
Th,5/1/2025,21.51,19.59,17.68,17.63
We,4/30/2025,21.52,19.49,17.62,17.6
Tu,4/29/2025,22.1,19.42,17.57,17.57
Mo,4/28/2025,23.25,19.32,17.51,17.54
,,,,,
Fr,4/25/2025,23.36,19.2,17.44,17.5
Th,4/24/2025,24.93,19.08,17.37,17.45
We,4/23/2025,25.23,18.93,17.29,17.4
Tu,4/22/2025,28.44,18.78,17.22,17.36
Mo,4/21/2025,28.14,18.53,17.11,17.29
,,,,,
Th,4/17/2025,24.14,18.3,17.01,17.22
We,4/16/2025,26.73,18.16,16.95,17.17
Tu,4/15/2025,21.54,17.97,16.86,17.11
Mo,4/14/2025,23.8,17.87,16.81,17.08
,,,,,
Fr,4/11/2025,28.44,17.71,16.75,17.04
Th,4/10/2025,26.59,17.47,16.64,16.97
We,4/9/2025,24.53,17.23,16.54,16.91
Tu,4/8/2025,23.73,17.05,16.46,16.87
Mo,4/7/2025,19.68,16.88,16.38,16.83
,,,,,
Fr,4/4/2025,22.03,16.78,16.34,16.81
Th,4/3/2025,18.36,16.64,16.3,16.78
We,4/2/2025,17.92,16.58,16.29,16.77
Tu,4/1/2025,17.95,16.53,16.31,16.76
Mo,3/31/2025,17.84,16.47,16.33,16.75
,,,,,
Fr,3/28/2025,16.45,16.42,16.34,16.74
Th,3/27/2025,16.08,16.4,16.37,16.74
We,3/26/2025,15.04,16.38,16.4,16.75
Tu,3/25/2025,15.23,16.38,16.43,16.76
Mo,3/24/2025,15.8,16.39,16.46,16.76
,,,,,
Fr,3/21/2025,15.98,16.37,16.49,16.76
Th,3/20/2025,16.45,16.35,16.52,16.76
We,3/19/2025,16.74,16.31,16.55,16.76
Tu,3/18/2025,17.53,16.27,16.57,16.75
Mo,3/17/2025,17.6,16.22,16.57,16.74
,,,,,
Fr,3/14/2025,17.13,16.16,16.57,16.74
Th,3/13/2025,17.41,16.12,16.58,16.73
We,3/12/2025,16.82,16.06,16.58,16.72
Tu,3/11/2025,17.14,16.03,16.58,16.72
Mo,3/10/2025,17.06,15.98,16.59,16.72
,,,,,
Fr,3/7/2025,16.19,15.95,16.59,16.72
Th,3/6/2025,16.83,15.94,16.6,16.72
We,3/5/2025,16.92,15.92,16.61,16.72
Tu,3/4/2025,17.25,15.91,16.61,16.72
Mo,3/3/2025,16.81,15.88,16.62,16.72
,,,,,
Fr,2/28/2025,15.82,15.85,16.63,16.72
Th,2/27/2025,16.45,15.85,16.65,16.72
We,2/26/2025,16.36,15.83,16.67,16.72
Tu,2/25/2025,16.72,15.84,16.69,16.71
Mo,2/24/2025,16.73,15.83,16.7,16.71
,,,,,
Fr,2/21/2025,16.55,15.81,16.72,16.71
Th,2/20/2025,16.45,15.78,16.74,16.7
We,2/19/2025,16.76,15.77,16.77,16.7
Tu,2/18/2025,18.03,15.75,16.79,16.7
,,,,,
Fr,2/14/2025,17.23,15.72,16.79,16.69
Th,2/13/2025,17.13,15.7,16.79,16.69
We,2/12/2025,17.34,15.68,16.79,16.69
Tu,2/11/2025,17.48,15.67,16.78,16.69
Mo,2/10/2025,17.59,15.66,16.78,16.69
,,,,,
Fr,2/7/2025,16.23,15.66,16.78,16.69
Th,2/6/2025,16.27,15.69,16.79,16.7
We,2/5/2025,17.19,15.71,16.79,16.71
Tu,2/4/2025,17.11,15.74,16.77,16.71
Mo,2/3/2025,16.81,15.75,16.76,16.72
,,,,,
Fr,1/31/2025,15.82,15.76,16.76,16.74
Th,1/30/2025,16.09,15.78,16.76,16.77
We,1/29/2025,14.84,15.81,16.77,16.8
Tu,1/28/2025,15.46,15.85,16.78,16.82
Mo,1/27/2025,15.23,15.87,16.79,16.83
,,,,,
Fr,1/24/2025,14.85,15.88,16.8,16.85
Th,1/23/2025,14.95,15.91,16.83,16.86
We,1/22/2025,15.24,15.95,16.85,16.87
Tu,1/21/2025,15.5,16,16.87,16.88
,,,,,
Fr,1/17/2025,14.98,16.08,16.9,16.89
Th,1/16/2025,15.4,16.18,16.92,16.9
We,1/15/2025,15.23,16.26,16.95,16.91
Tu,1/14/2025,15,16.34,16.98,16.91
Mo,1/13/2025,15.27,16.42,17.02,16.9
,,,,,
Fr,1/10/2025,15.77,16.48,17.05,16.89
We,1/8/2025,14.82,16.53,17.09,16.87
Tu,1/7/2025,14.68,16.62,17.13,16.86
Mo,1/6/2025,14.76,16.69,17.17,16.85
,,,,,
Fr,1/3/2025,14.49,16.78,17.21,16.85
Th,1/2/2025,15.07,16.86,17.27,16.84
Tu,12/31/2024,14.62,16.93,17.3,16.84
Mo,12/30/2024,15.02,16.99,17.34,16.83
,,,,,
Fr,12/27/2024,14.67,17.04,17.37,16.82
Th,12/26/2024,15.19,17.09,17.41,16.82
Tu,12/24/2024,14.71,17.14,17.48,16.81
Mo,12/23/2024,15.54,17.19,17.52,16.82
,,,,,
Fr,12/20/2024,15.73,17.23,17.54,16.82
Th,12/19/2024,15.83,17.26,17.56,16.81
We,12/18/2024,16.54,17.29,17.57,16.81
Tu,12/17/2024,15.64,17.32,17.56,16.8
Mo,12/16/2024,15.38,17.36,17.55,16.8
,,,,,
Fr,12/13/2024,15.63,17.4,17.56,16.79
Th,12/12/2024,15.43,17.45,17.56,16.76
We,12/11/2024,16.86,17.5,17.56,16.74
Tu,12/10/2024,16.34,17.54,17.55,16.71
Mo,12/9/2024,15.75,17.57,17.55,16.69
,,,,,
Fr,12/6/2024,15.04,17.63,17.55,16.67
Th,12/5/2024,15.93,17.71,17.57,16.65
We,12/4/2024,15.92,17.77,17.58,16.62
Tu,12/3/2024,16.21,17.84,17.58,16.6
Mo,12/2/2024,16.33,17.87,17.57,16.58
,,,,,
Fr,11/29/2024,16.37,17.88,17.57,16.56
We,11/27/2024,16.54,17.89,17.55,16.54
Tu,11/26/2024,17,17.9,17.53,16.51
Mo,11/25/2024,17.8,17.91,17.51,16.49
,,,,,
Fr,11/22/2024,17.54,17.9,17.49,16.46
Th,11/21/2024,17.59,17.88,17.46,16.43
We,11/20/2024,18.34,17.87,17.43,16.4
Tu,11/19/2024,17.85,17.81,17.4,16.37
Mo,11/18/2024,16.97,17.77,17.37,16.34
,,,,,
Fr,11/15/2024,17.17,17.76,17.35,16.32
Th,11/14/2024,17.39,17.74,17.32,16.3
We,11/13/2024,17.05,17.73,17.3,16.28
Tu,11/12/2024,16.25,17.71,17.28,16.26
Mo,11/11/2024,16.02,17.71,17.28,16.25
,,,,,
Fr,11/8/2024,15.91,17.72,17.28,16.22
Th,11/7/2024,17.37,17.75,17.28,16.21
We,11/6/2024,17.63,17.74,17.26,16.19
Tu,11/5/2024,19.59,17.75,17.25,16.16
Mo,11/4/2024,19.91,17.71,17.21,16.13
,,,,,
Fr,11/1/2024,19.29,17.66,17.17,16.09
