,Date,Last Px,SMAVG (50) ,SMAVG (100) ,SMAVG (200) 
Mo,8/25/2025,77.56,85.7214,96.4339,96.3921
,,,,,
Fr,8/22/2025,78.1,85.95,96.7056,96.6855
Th,8/21/2025,80.52,86.1752,96.9381,96.9579
We,8/20/2025,80.75,86.3892,97.1012,97.2312
Tu,8/19/2025,82.15,86.6266,97.204,97.4815
Mo,8/18/2025,81.82,86.7766,97.2966,97.73
,,,,,
Fr,8/15/2025,76.66,87.0332,97.4141,97.9755
Th,8/14/2025,76.77,87.4396,97.5997,98.2343
We,8/13/2025,77.31,87.9042,97.7774,98.4878
Tu,8/12/2025,77.42,88.2732,97.9617,98.7465
Mo,8/11/2025,81.76,88.567,98.1015,99.0057
,,,,,
Fr,8/8/2025,79.2,88.7852,98.2507,99.2417
Th,8/7/2025,80.15,89.0652,98.4565,99.4613
We,8/6/2025,83.89,89.4208,98.6651,99.6712
Tu,8/5/2025,89.2,89.7612,98.8881,99.8611
Mo,8/4/2025,87.95,89.9666,99.0372,100.0512
,,,,,
Fr,8/1/2025,83.83,90.2496,99.3037,100.2038
Th,7/31/2025,79.84,90.6004,99.5904,100.3675
We,7/30/2025,81.88,91.0798,99.8361,100.5803
Tu,7/29/2025,85.07,91.3762,100.1068,100.7897
Mo,7/28/2025,83.73,91.6478,100.2993,100.9855
,,,,,
Fr,7/25/2025,82.09,91.9878,100.5507,101.0676
Th,7/24/2025,82.75,92.3486,100.7863,101.1629
We,7/23/2025,85.95,92.7516,101.0034,101.26
Tu,7/22/2025,89.89,93.0406,101.1066,101.351
Mo,7/21/2025,86.62,93.216,101.1829,101.3746
,,,,,
Fr,7/18/2025,83.29,93.481,101.2828,101.4042
Th,7/17/2025,85.57,93.9388,101.3343,101.4384
We,7/16/2025,89.52,94.3164,101.3969,101.4688
Tu,7/15/2025,88.95,94.554,101.3643,101.4876
Mo,7/14/2025,90.73,94.9216,101.3134,101.5123
,,,,,
Fr,7/11/2025,85.48,95.3566,101.2512,101.5136
Th,7/10/2025,81.58,95.8924,101.2431,101.5494
We,7/9/2025,84.31,96.461,101.273,101.6346
Tu,7/8/2025,88.05,96.8906,101.2957,101.7209
Mo,7/7/2025,88.53,97.2952,101.271,101.7868
,,,,,
Th,7/3/2025,86.09,97.8566,101.2625,101.8471
We,7/2/2025,91.37,98.5018,101.3329,101.9068
Tu,7/1/2025,93.48,99.2456,101.3582,101.9689
Mo,6/30/2025,90.26,99.6688,101.3702,102.0433
,,,,,
Fr,6/27/2025,87.93,100.2516,101.3704,102.1151
Th,6/26/2025,89.47,100.9442,101.4326,102.2116
We,6/25/2025,91.24,101.804,101.4555,102.3383
Tu,6/24/2025,92.62,102.7244,101.4485,102.4779
Mo,6/23/2025,95.03,103.439,101.4296,102.5857
,,,,,
Fr,6/20/2025,90.1,104.115,101.4076,102.6495
We,6/18/2025,93.64,105.1106,101.4571,102.7325
Tu,6/17/2025,97.18,105.9838,101.3882,102.8081
Mo,6/16/2025,93.48,106.5544,101.3015,102.8682
,,,,,
Fr,6/13/2025,95.31,106.9248,101.2657,102.9342
Th,6/12/2025,88.99,107.1464,101.2804,102.9857
We,6/11/2025,89.36,107.4612,101.3465,103.0833
Tu,6/10/2025,91.22,107.701,101.3801,103.1934
Mo,6/9/2025,92.62,107.8132,101.3989,103.2952
,,,,,
Fr,6/6/2025,89.65,107.7814,101.4926,103.3827
Th,6/5/2025,94.65,107.8166,101.6312,103.4485
We,6/4/2025,96.98,107.795,101.6504,103.4939
Tu,6/3/2025,100,107.7598,101.6779,103.5407
Mo,6/2/2025,95.76,107.6506,101.6855,103.6329
,,,,,
Fr,5/30/2025,92.11,107.6502,101.7557,103.7455
Th,5/29/2025,92.67,107.636,101.8135,103.8262
We,5/28/2025,93.2,107.7162,101.8203,103.9149
Tu,5/27/2025,97.93,107.8478,101.855,104.0124
,,,,,
Fr,5/23/2025,100.91,107.9094,101.8637,104.1189
Th,5/22/2025,99.47,108.015,101.8454,104.2205
We,5/21/2025,102.1,108.1078,101.7987,104.2844
Tu,5/20/2025,101.37,108.3578,101.7297,104.2831
Mo,5/19/2025,103.81,108.5804,101.6855,104.2732
,,,,,
