,Date,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,31.24,38.7,40.32,36.63
,,,,,
Fr,8/22/2025,30.35,38.98,40.32,36.71
Th,8/21/2025,31.54,39.24,40.32,36.78
We,8/20/2025,32.51,39.31,40.29,36.86
Tu,8/19/2025,33.04,39.35,40.25,36.9
Mo,8/18/2025,32.15,39.4,40.21,36.95
,,,,,
Fr,8/15/2025,37.22,39.46,40.17,37.01
Th,8/14/2025,35.96,39.47,40.1,37.06
We,8/13/2025,33.82,39.5,40.02,37.12
Tu,8/12/2025,30.31,39.6,39.98,37.19
Mo,8/11/2025,31.4,39.81,40.02,37.27
,,,,,
Fr,8/8/2025,34.06,39.99,40.06,37.35
Th,8/7/2025,35.01,40.11,40.03,37.42
We,8/6/2025,36.67,40.25,40.02,37.48
Tu,8/5/2025,35.3,40.38,39.98,37.53
Mo,8/4/2025,38.79,40.51,39.94,37.6
,,,,,
Fr,8/1/2025,39.37,40.51,39.87,37.66
Th,7/31/2025,36.78,40.42,39.82,37.73
We,7/30/2025,37.75,40.44,39.75,37.81
Tu,7/29/2025,38.04,40.44,39.74,37.86
Mo,7/28/2025,35.37,40.43,39.71,37.93
,,,,,
Fr,7/25/2025,32.88,40.46,39.74,38
Th,7/24/2025,32.37,40.53,39.79,38.07
We,7/23/2025,32.39,40.64,39.77,38.18
Tu,7/22/2025,32.26,40.79,39.76,38.25
Mo,7/21/2025,31.38,40.95,39.77,38.3
,,,,,
Fr,7/18/2025,32.17,41.18,39.79,38.34
Th,7/17/2025,32.84,41.38,39.78,38.38
We,7/16/2025,33.16,41.57,39.81,38.42
Tu,7/15/2025,34.38,41.92,39.77,38.42
Mo,7/14/2025,33.53,42.27,39.71,38.42
,,,,,
Fr,7/11/2025,37.06,42.69,39.65,38.42
Th,7/10/2025,32.8,42.92,39.56,38.4
We,7/9/2025,34.17,43.13,39.55,38.4
Tu,7/8/2025,35.71,43.32,39.52,38.41
Mo,7/7/2025,41.23,43.49,39.47,38.41
,,,,,
Th,7/3/2025,37.75,43.54,39.37,38.38
We,7/2/2025,40.24,43.65,39.29,38.37
Tu,7/1/2025,38,43.67,39.25,38.35
Mo,6/30/2025,38.89,43.73,39.22,38.34
,,,,,
Fr,6/27/2025,41.23,43.83,39.16,38.35
Th,6/26/2025,41.86,43.85,39.1,38.33
We,6/25/2025,42.75,43.97,38.98,38.31
Tu,6/24/2025,48.8,44.13,38.87,38.28
Mo,6/23/2025,53.65,44.13,38.71,38.22
,,,,,
Fr,6/20/2025,64.67,43.92,38.49,38.13
We,6/18/2025,66.86,43.73,38.21,37.98
Tu,6/17/2025,71.56,43.45,37.84,37.8
Mo,6/16/2025,56.6,42.91,37.46,37.6
,,,,,
Fr,6/13/2025,57.23,42.49,37.24,37.48
Th,6/12/2025,45.37,41.94,37.02,37.34
We,6/11/2025,43.24,41.65,36.9,37.27
Tu,6/10/2025,35.05,41.4,36.8,37.21
Mo,6/9/2025,34.42,41.27,36.78,37.2
,,,,,
Fr,6/6/2025,35.72,41.15,36.77,37.19
Th,6/5/2025,34.89,41.02,36.76,37.17
We,6/4/2025,37.7,40.88,36.75,37.15
Tu,6/3/2025,37.75,40.72,36.68,37.12
Mo,6/2/2025,38.7,40.54,36.62,37.09
,,,,,
Fr,5/30/2025,40.71,40.36,36.52,37.06
Th,5/29/2025,40.26,40.22,36.42,37.03
