,Date,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,149.99,149.08,142.44,150.14
,,,,,
Fr,8/22/2025,146.39,148.99,142.37,150.13
Th,8/21/2025,144.32,148.89,142.4,150.13
We,8/20/2025,144.56,148.83,142.34,150.17
Tu,8/19/2025,153.17,148.72,142.31,150.22
Mo,8/18/2025,153.95,148.43,142.22,150.2
,,,,,
Fr,8/15/2025,153.79,148.16,142.17,150.18
Th,8/14/2025,150.62,147.83,142.07,150.15
We,8/13/2025,153.13,147.65,141.98,150.12
Tu,8/12/2025,151.45,147.41,141.86,150.09
Mo,8/11/2025,148.55,147.14,141.71,150.07
,,,,,
Fr,8/8/2025,147.53,146.92,141.59,150.08
Th,8/7/2025,147.03,146.72,141.45,150.12
We,8/6/2025,149.71,146.6,141.29,150.21
Tu,8/5/2025,149.91,146.39,141.08,150.28
Mo,8/4/2025,159.31,146.17,140.87,150.32
,,,,,
Fr,8/1/2025,155.49,145.73,140.6,150.29
Th,7/31/2025,152.29,145.37,140.51,150.31
We,7/30/2025,154.08,145.04,140.38,150.32
Tu,7/29/2025,149.12,144.68,140.22,150.34
Mo,7/28/2025,147.65,144.51,140.12,150.37
,,,,,
Fr,7/25/2025,145.57,144.34,140.15,150.41
Th,7/24/2025,159.41,144.24,140.24,150.47
We,7/23/2025,159.29,143.8,140.23,150.48
Tu,7/22/2025,153.44,143.19,140.13,150.49
Mo,7/21/2025,154.83,142.75,140.13,150.52
,,,,,
Fr,7/18/2025,150.45,142.29,140.15,150.52
Th,7/17/2025,151.12,141.95,140.22,150.57
We,7/16/2025,146.71,141.61,140.36,150.61
Tu,7/15/2025,143.72,141.37,140.68,150.68
Mo,7/14/2025,147,141.18,141,150.77
,,,,,
Fr,7/11/2025,144.96,140.89,141.36,150.86
Th,7/10/2025,143.32,140.68,141.59,150.97
We,7/9/2025,141.75,140.44,141.79,151.11
Tu,7/8/2025,140.8,140.25,142.03,151.24
Mo,7/7/2025,137.96,140.02,142.31,151.32
,,,,,
Th,7/3/2025,141.36,139.79,142.6,151.39
We,7/2/2025,139.28,139.48,142.85,151.43
Tu,7/1/2025,140.07,139.21,143.1,151.47
Mo,6/30/2025,139.65,139.01,143.32,151.47
,,,,,
Fr,6/27/2025,143.44,138.84,143.52,151.47
Th,6/26/2025,147.46,138.69,143.64,151.45
We,6/25/2025,152.24,138.46,143.75,151.46
Tu,6/24/2025,154.97,137.98,143.79,151.48
Mo,6/23/2025,154.78,137.43,143.82,151.51
,,,,,
Fr,6/20/2025,149.19,137.18,143.91,151.55
We,6/18/2025,148.41,136.91,144.1,151.6
Tu,6/17/2025,154.36,136.62,144.35,151.63
Mo,6/16/2025,156.6,136.26,144.6,151.61
,,,,,
Fr,6/13/2025,149.65,135.92,144.83,151.59
Th,6/12/2025,145.6,135.81,145.07,151.6
We,6/11/2025,141.39,135.76,145.26,151.64
Tu,6/10/2025,141.22,135.9,145.52,151.7
Mo,6/9/2025,139.18,135.86,145.75,151.75
,,,,,
Fr,6/6/2025,138.85,135.89,146.03,151.78
Th,6/5/2025,140.09,136.01,146.35,151.79
We,6/4/2025,137.46,136.18,146.46,151.81
Tu,6/3/2025,141.6,136.31,146.63,151.84
Mo,6/2/2025,141.04,136.31,146.77,151.84
,,,,,
Fr,5/30/2025,138.25,136.31,146.88,151.85
