Calls,,,,,,,,,,,,,
Strike,Ticker,Bid,Ask,Last,IVM,Volm,Strike,Ticker,Bid,Ask,Last,IVM,Volm
ERROR(6),,,,,,,,,,,,,
6200,SPX 12/20/30 C6200,1326.800049,0,1783.310059,10.00252342,0,6200,SPX 12/20/30 P6200,565.9000244,627.0999756,586.2700195,20.48143578,0
6300,SPX 12/20/30 C6300,1276,0,1727.719971,10.34447002,0,6300,SPX 12/20/30 P6300,592.0999756,654.2000122,607.039978,20.2911644,0
6400,SPX 12/20/30 C6400,1225.900024,0,1668.189941,10.6047678,0,6400,SPX 12/20/30 P6400,618.9000244,681.7999878,638.7399902,20.09633446,0
6500,SPX 12/20/30 C6500,1176.300049,0,1617.599976,10.81832027,0,6500,SPX 12/20/30 P6500,646.0998535,709.6999512,667.0999756,19.89701843,0
6600,SPX 12/20/30 C6600,1127.199951,0,1537.51001,10.98369789,0,6600,SPX 12/20/30 P6600,673.7000122,738.2999878,702.5100098,19.69320869,0
29-Aug-25 (4d); CSize 100; R 4.48; FF 0,,,,,,,,,,,,,
6430,SPXW 8/29/25 C6430,38.79999924,39.59999847,43.81999969,11.80638599,0,6430,SPXW 8/29/25 P6430,34,34.90000153,26.23999977,11.78491783,0
6435,SPXW 8/29/25 C6435,35.79999924,36.70000076,41.09999847,11.73808575,0,6435,SPXW 8/29/25 P6435,36,36.59999847,28.67000008,11.57340145,0
6440,SPXW 8/29/25 C6440,33.09999847,33.90000153,32.40000153,11.52991772,7,6440,SPXW 8/29/25 P6440,38.20000076,39.20000076,36.77000046,11.51804638,1
6445,SPXW 8/29/25 C6445,30.39999962,31.20000076,30,11.43035412,3,6445,SPXW 8/29/25 P6445,40.59999847,41.59999847,31.03000069,11.42465019,0
6450,SPXW 8/29/25 C6450,27.79999924,28.60000038,28.63999939,11.31793404,14,6450,SPXW 8/29/25 P6450,42.90000153,44,50,11.25083447,1
ERROR(6),,,,,,,,,,,,,
6430,SPX 9/19/25 C6430,89.80000305,91.19999695,106.5899963,12.18755054,0,6430,SPX 9/19/25 P6430,73.69999695,75.19999695,61.97000122,12.18181515,0
6435,SPX 9/19/25 C6435,86.6000061,88.1000061,90.90000153,12.10662937,0,6435,SPX 9/19/25 P6435,75.5,77,67.30000305,12.07845688,0
6440,SPX 9/19/25 C6440,83.6000061,85,87.59999847,12.03334522,0,6440,SPX 9/19/25 P6440,77.30000305,78.8999939,69.09999847,12.00962257,0
6445,SPX 9/19/25 C6445,80.40000153,81.80000305,87.69999695,11.94849014,0,6445,SPX 9/19/25 P6445,79.30000305,80.80000305,67.84999847,11.93030167,0
6450,SPX 9/19/25 C6450,77.5,78.8999939,78.5,11.86165237,26,6450,SPX 9/19/25 P6450,81.09999847,82.69999695,72.80000305,11.82796383,0
ERROR(6),,,,,,,,,,,,,
6430,SPXW 9/19/25 C6430,90.90000153,92.09999847,98.63999939,12.24476337,0,6430,SPXW 9/19/25 P6430,74.69999695,75.90000153,68.40000153,12.25768375,0
6435,SPXW 9/19/25 C6435,87.69999695,88.80000305,95.09999847,12.14590168,0,6435,SPXW 9/19/25 P6435,76.80000305,78,65.04000092,12.19464779,0
6440,SPXW 9/19/25 C6440,84.59999847,85.69999695,91.66999817,12.08004093,0,6440,SPXW 9/19/25 P6440,78.59999847,80.09999847,72.56999969,12.06471825,0
6445,SPXW 9/19/25 C6445,81.6000061,83,89.40000153,12.00357342,0,6445,SPXW 9/19/25 P6445,80.5,81.69999695,68.90000153,11.97878075,0
6450,SPXW 9/19/25 C6450,78.59999847,79.80000305,77,11.92544174,150,6450,SPXW 9/19/25 P6450,82.5,83.69999695,75.59999847,11.94756508,0
ERROR(6),,,,,,,,,,,,,
6430,SPXW 9/30/25 C6430,109.0999985,111.0999985,125.3199997,12.33184719,0,6430,SPXW 9/30/25 P6430,87.59999847,89.30000305,73.87999725,12.34022236,0
6435,SPXW 9/30/25 C6435,106.1999969,107.6999969,111.0999985,12.2417984,0,6435,SPXW 9/30/25 P6435,89.40000153,91,81.41999817,12.24651337,0
6440,SPXW 9/30/25 C6440,102.6999969,104.5,111.4000015,12.18773746,0,6440,SPXW 9/30/25 P6440,91.19999695,92.80000305,77.09999847,12.16403103,0
6445,SPXW 9/30/25 C6445,100.0999985,101.4000015,97.5,12.11371803,0,6445,SPXW 9/30/25 P6445,93,94.40000153,81.30000305,12.0986805,0
6450,SPXW 9/30/25 C6450,96.80000305,98.09999847,101.4199982,12.04421043,0,6450,SPXW 9/30/25 P6450,94.90000153,96.30000305,84.69999695,12.02568531,0
ERROR(6),,,,,,,,,,,,,
6430,SPX 10/17/25 C6430,144.3000031,146.3999939,158.1100006,12.91435146,0,6430,SPX 10/17/25 P6430,109.8000031,111.8999939,99.09999847,12.91686153,0
6435,SPX 10/17/25 C6435,141.1000061,143.1000061,155.7700043,12.85685825,0,6435,SPX 10/17/25 P6435,111.4000015,113.5999985,100.6999969,12.83552074,0
6440,SPX 10/17/25 C6440,137.6999969,139.8999939,146.8500061,12.7859621,0,6440,SPX 10/17/25 P6440,113.0999985,115.3000031,101.5,12.76774788,0
6445,SPX 10/17/25 C6445,134.5,136.8000031,146.5,12.72763252,0,6445,SPX 10/17/25 P6445,114.8999939,117.1000061,116.4800034,12.70716667,5
6450,SPX 10/17/25 C6450,131.3999939,133.5,142.8099976,12.66107178,0,6450,SPX 10/17/25 P6450,116.6999969,118.9000092,111.4000015,12.64356613,0
