,Date,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,8/26/2025,,,,
Mo,8/25/2025,92.3,95.92,101.84,101.18
,,,,,
Fr,8/22/2025,89.78,96.14,101.9,101.33
Th,8/21/2025,99.99,96.32,101.99,101.48
We,8/20/2025,98.6,96.16,102.01,101.59
Tu,8/19/2025,102.09,95.97,101.92,101.66
Mo,8/18/2025,96.63,95.72,101.8,101.69
,,,,,
Fr,8/15/2025,97.85,95.65,101.71,101.77
Th,8/14/2025,98.04,95.51,101.55,101.87
We,8/13/2025,98.17,95.36,101.45,101.93
Tu,8/12/2025,92.86,95.24,101.37,101.98
Mo,8/11/2025,97.09,95.28,101.37,102.01
,,,,,
Fr,8/8/2025,93.14,95.25,101.4,102.04
Th,8/7/2025,97.37,95.33,101.43,102.08
We,8/6/2025,97.81,95.31,101.44,102.12
Tu,8/5/2025,97.65,95.55,101.59,102.19
Mo,8/4/2025,95.85,95.68,101.77,102.27
,,,,,
Fr,8/1/2025,109.79,95.89,102.11,102.33
Th,7/31/2025,98.37,95.62,102.29,102.35
We,7/30/2025,94.33,95.59,102.47,102.44
Tu,7/29/2025,95.14,95.61,102.73,102.57
Mo,7/28/2025,88.59,95.59,102.88,102.67
,,,,,
Fr,7/25/2025,90.59,95.76,103.18,102.84
Th,7/24/2025,89.75,95.78,103.46,102.94
We,7/23/2025,88.04,95.74,103.65,103.07
Tu,7/22/2025,90.58,95.91,103.92,103.17
Mo,7/21/2025,92.26,96.02,104.07,103.26
,,,,,
Fr,7/18/2025,93.15,96.17,104.23,103.3
Th,7/17/2025,92.9,96.4,104.37,103.34
We,7/16/2025,95.56,96.56,104.5,103.32
Tu,7/15/2025,94.66,96.59,104.49,103.3
Mo,7/14/2025,95.75,96.75,104.5,103.28
,,,,,
Fr,7/11/2025,93.53,96.88,104.53,103.27
Th,7/10/2025,90.94,97.03,104.56,103.28
We,7/9/2025,91.76,97.28,104.61,103.31
Tu,7/8/2025,91.31,97.43,104.68,103.38
Mo,7/7/2025,96.3,97.66,104.76,103.46
,,,,,
Th,7/3/2025,90.6,97.91,104.79,103.51
We,7/2/2025,89.8,98.36,104.9,103.57
Tu,7/1/2025,89.54,99.05,104.97,103.64
Mo,6/30/2025,89.74,99.58,105.05,103.7
,,,,,
Fr,6/27/2025,91.84,100.25,105.16,103.79
Th,6/26/2025,89.6,100.73,105.33,103.89
We,6/25/2025,89.65,101.38,105.45,104.03
Tu,6/24/2025,92.29,102.54,105.54,104.16
Mo,6/23/2025,104.32,103.83,105.63,104.32
,,,,,
Fr,6/20/2025,108.86,104.6,105.63,104.44
We,6/18/2025,106.2,105.84,105.64,104.37
Tu,6/17/2025,115.5,106.77,105.58,104.32
Mo,6/16/2025,106.19,107.4,105.42,104.28
,,,,,
Fr,6/13/2025,113.37,107.67,105.37,104.21
Th,6/12/2025,103.04,107.77,105.21,104.15
We,6/11/2025,99.02,107.66,105.2,104.13
Tu,6/10/2025,92.06,107.66,105.21,104.2
Mo,6/9/2025,88.97,107.87,105.27,104.27
,,,,,
Fr,6/6/2025,89.45,107.88,105.46,104.34
Th,6/5/2025,93.2,107.89,105.67,104.38
We,6/4/2025,90.79,107.78,105.89,104.43
Tu,6/3/2025,90.89,107.6,106.02,104.51
Mo,6/2/2025,91.84,107.54,106.18,104.59
,,,,,
Fr,5/30/2025,95.15,107.5,106.22,104.7
Th,5/29/2025,95.32,107.47,106.21,104.84
We,5/28/2025,97.15,107.55,106.32,104.93
Tu,5/27/2025,96.49,107.53,106.4,105.12
,,,,,
Fr,5/23/2025,109.76,107.56,106.46,105.39
Th,5/22/2025,104.1,107.63,106.35,105.59
We,5/21/2025,106.3,107.86,106.24,105.94
Tu,5/20/2025,96.62,108.33,106.09,106.09
Mo,5/19/2025,96.89,108.96,106.14,106.17
,,,,,
Fr,5/16/2025,94.94,109.34,106.32,106.15
Th,5/15/2025,94.11,109.86,106.73,106.18
We,5/14/2025,97.16,110.17,107.09,106.17
Tu,5/13/2025,91.59,110.6,107.12,106.16
Mo,5/12/2025,87.93,111.14,107.19,106.23
,,,,,
Fr,5/9/2025,96.35,111.56,107.27,106.32
Th,5/8/2025,96.29,111.93,107.31,106.28
We,5/7/2025,99.82,112.12,107.32,106.26
Tu,5/6/2025,104.32,112.3,107.27,106.25
Mo,5/5/2025,101.17,112.35,107.16,106.21
,,,,,
Fr,5/2/2025,97.26,112.44,107.03,106.14
Th,5/1/2025,102.31,112.39,106.92,106.07
We,4/30/2025,102.29,112.26,106.76,105.98
Tu,4/29/2025,101.31,112.18,106.61,105.87
Mo,4/28/2025,103.39,112.09,106.46,105.79
,,,,,
Fr,4/25/2025,98.95,111.93,106.29,105.69
Th,4/24/2025,102.98,111.93,106.19,105.59
We,4/23/2025,109.02,111.87,106.03,105.46
Tu,4/22/2025,112.96,111.67,105.83,105.31
Mo,4/21/2025,124.11,111.44,105.65,105.14
,,,,,
Th,4/17/2025,116.26,110.89,105.43,104.9
We,4/16/2025,122.91,110.51,105.29,104.7
Tu,4/15/2025,115.89,110.07,105.03,104.49
Mo,4/14/2025,122.32,109.94,104.81,104.3
,,,,,
Fr,4/11/2025,147.35,109.52,104.58,104.1
Th,4/10/2025,157.24,108.54,104.01,103.78
We,4/9/2025,142.5,107.43,103.35,103.41
Tu,4/8/2025,170.92,106.65,102.82,103.12
Mo,4/7/2025,152.63,105.44,102.02,102.69
,,,,,
Fr,4/4/2025,147.16,104.4,101.37,102.33
Th,4/3/2025,119.48,103.44,100.78,102.01
We,4/2/2025,118.37,103.06,100.56,101.83
Tu,4/1/2025,97.55,102.66,100.52,101.63
Mo,3/31/2025,99.12,102.74,100.76,101.53
,,,,,
Fr,3/28/2025,102.44,102.76,100.96,101.44
Th,3/27/2025,89.51,102.67,101.16,101.32
We,3/26/2025,90.24,103.03,101.39,101.26
Tu,3/25/2025,87.46,103.45,101.58,101.19
Mo,3/24/2025,81.89,104.01,101.82,101.13
,,,,,
