Record Date,Table Name,Maturity,Previous Month Year,Rate Used for Previous Month Year,Current Month Year,Rate Indicated for Current Month Year,Rate Change,Source Line Number
2024-02-01,February 2024 Specific Maturities,1 Year,January 2024,5-1/8%,February 2024,4-3/4%,-3/8%,1
2024-02-01,February 2024 Specific Maturities,5 Years,January 2024,4-1/8%,February 2024,3-7/8%,-1/4%,2
2024-02-01,February 2024 Specific Maturities,15 Years,January 2024,4-3/8%,February 2024,4-1/4%,-1/8%,3
2024-02-01,February 2024 Specific Maturities,20 Years,January 2024,4-1/2%,February 2024,4-1/4%,-1/4%,4
2024-01-02,January 2024 Specific Maturities,1 Year,December 2023,5-3/8%,January 2024,5-1/8%,-1/4%,1
2024-01-02,January 2024 Specific Maturities,5 Years,December 2023,4-5/8%,January 2024,4-1/8%,-1/2%,2
2024-01-02,January 2024 Specific Maturities,15 Years,December 2023,4-7/8%,January 2024,4-3/8%,-1/2%,3
2024-01-02,January 2024 Specific Maturities,20 Years,December 2023,5%,January 2024,4-1/2%,-1/2%,4
2023-12-01,December 2023 Specific Maturities,1 Year,November 2023,5-1/2%,December 2023,5-3/8%,-1/8%,1
2023-12-01,December 2023 Specific Maturities,5 Years,November 2023,4-3/4%,December 2023,4-5/8%,-1/8%,2
2023-12-01,December 2023 Specific Maturities,15 Years,November 2023,4-7/8%,December 2023,4-7/8%,unch,3
2023-12-01,December 2023 Specific Maturities,20 Years,November 2023,5%,December 2023,5%,unch,4
2023-11-01,November 2023 Specific Maturities,1 Year,October 2023,5-3/8%,November 2023,5-1/2%,+1/8%,1
2023-11-01,November 2023 Specific Maturities,5 Years,October 2023,4-3/8%,November 2023,4-3/4%,+3/8%,2
2023-11-01,November 2023 Specific Maturities,15 Years,October 2023,4-1/2%,November 2023,4-7/8%,+3/8%,3
2023-11-01,November 2023 Specific Maturities,20 Years,October 2023,4-1/2%,November 2023,5%,+1/2%,4
2023-10-02,October 2023 Specific Maturities,1 Year,September 2023,5-3/8%,October 2023,5-3/8%,unch,1
2023-10-02,October 2023 Specific Maturities,5 Years,September 2023,4-1/4%,October 2023,4-3/8%,+1/8%,2
2023-10-02,October 2023 Specific Maturities,15 Years,September 2023,4-1/4%,October 2023,4-1/2%,+1/4%,3
2023-10-02,October 2023 Specific Maturities,20 Years,September 2023,4-3/8%,October 2023,4-1/2%,+1/8%,4
2023-09-01,September 2023 Specific Maturities,1 Year,August 2023,5-3/8%,September 2023,5-3/8%,unch,1
2023-09-01,September 2023 Specific Maturities,5 Years,August 2023,4-1/8%,September 2023,4-1/4%,+1/8%,2
2023-09-01,September 2023 Specific Maturities,15 Years,August 2023,4%,September 2023,4-1/4%,+1/4%,3
2023-09-01,September 2023 Specific Maturities,20 Years,August 2023,4-1/8%,September 2023,4-3/8%,+1/4%,4
2023-08-01,August 2023 Specific Maturities,1 Year,July 2023,5-1/8%,August 2023,5-3/8%,+1/4%,1
2023-08-01,August 2023 Specific Maturities,5 Years,July 2023,3-7/8%,August 2023,4-1/8%,+1/4%,2
2023-08-01,August 2023 Specific Maturities,15 Years,July 2023,4%,August 2023,4%,unch,3
2023-08-01,August 2023 Specific Maturities,20 Years,July 2023,4-1/8%,August 2023,4-1/8%,unch,4
2023-07-03,July 2023 Specific Maturities,1 Year,June 2023,4-3/4%,July 2023,5-1/8%,+3/8%,1
2023-07-03,July 2023 Specific Maturities,5 Years,June 2023,3-1/2%,July 2023,3-7/8%,+3/8%,2
2023-07-03,July 2023 Specific Maturities,15 Years,June 2023,3-3/4%,July 2023,0.04,+1/4%,3
2023-07-03,July 2023 Specific Maturities,20 Years,June 2023,3-7/8%,July 2023,4-1/8%,+1/4%,4
2023-05-01,May 2023 Specific Maturities,1 Year,April 2023,4-7/8%,May 2023,4-5/8%,-1/4%,1
2023-05-01,May 2023 Specific Maturities,5 Years,April 2023,4%,May 2023,3-1/2%,-1/2%,2
2023-05-01,May 2023 Specific Maturities,15 Years,April 2023,4%,May 2023,3-3/4%,-1/4%,3
2023-05-01,May 2023 Specific Maturities,20 Years,April 2023,4%,May 2023,3-7/8%,-1/8%,4
2023-04-03,April 2023 Specific Maturities,1 Year,March 2023,4-3/4%,April 2023,4-7/8%,+1/8%,1
2023-04-03,April 2023 Specific Maturities,5 Years,March 2023,3-3/4%,April 2023,4%,+1/4%,2
2023-04-03,April 2023 Specific Maturities,15 Years,March 2023,3-3/4%,April 2023,4%,+1/4%,3
2023-04-03,April 2023 Specific Maturities,20 Years,March 2023,3-7/8%,April 2023,4%,+1/8%,4
2023-03-01,March 2023 Specific Maturities,1 Year,February 2023,4-3/4%,March 2023,4-3/4%,unch,1
2023-03-01,March 2023 Specific Maturities,5 Years,February 2023,3-3/4%,March 2023,3-3/4%,unch,2
2023-03-01,March 2023 Specific Maturities,15 Years,February 2023,3-7/8%,March 2023,3-3/4%,-1/8%,3
2023-03-01,March 2023 Specific Maturities,20 Years,February 2023,3-7/8%,March 2023,3-7/8%,unch,4
