model,L,sigma,seed,final_acc
RNN,50,0.0,0,0.49625
LSTM,50,0.0,0,0.49525
Transformer,50,0.0,0,1.0
RNN,50,0.0,1,0.4955
LSTM,50,0.0,1,0.49475
Transformer,50,0.0,1,1.0
RNN,50,0.0,2,0.5
LSTM,50,0.0,2,0.49625
Transformer,50,0.0,2,1.0
RNN,50,0.1,0,1.0
LSTM,50,0.1,0,0.502
Transformer,50,0.1,0,1.0
RNN,50,0.1,1,0.5085
LSTM,50,0.1,1,0.4965
Transformer,50,0.1,1,1.0
RNN,50,0.1,2,1.0
LSTM,50,0.1,2,0.4965
Transformer,50,0.1,2,1.0
RNN,50,0.2,0,0.5045
LSTM,50,0.2,0,0.501
Transformer,50,0.2,0,0.99425
RNN,50,0.2,1,0.98425
LSTM,50,0.2,1,0.49725
Transformer,50,0.2,1,0.99425
RNN,50,0.2,2,0.98825
LSTM,50,0.2,2,0.49675
Transformer,50,0.2,2,0.9945
RNN,50,0.3,0,0.50425
LSTM,50,0.3,0,0.49625
Transformer,50,0.3,0,0.95725
RNN,50,0.3,1,0.9595
LSTM,50,0.3,1,0.50125
Transformer,50,0.3,1,0.9575
RNN,50,0.3,2,0.92125
LSTM,50,0.3,2,0.49625
Transformer,50,0.3,2,0.95675
RNN,50,0.5,0,0.502
LSTM,50,0.5,0,0.8105
Transformer,50,0.5,0,0.841
RNN,50,0.5,1,0.8245
LSTM,50,0.5,1,0.841
Transformer,50,0.5,1,0.8415
RNN,50,0.5,2,0.83325
LSTM,50,0.5,2,0.4945
Transformer,50,0.5,2,0.83975
RNN,50,0.7,0,0.50975
LSTM,50,0.7,0,0.5
Transformer,50,0.7,0,0.76325
RNN,50,0.7,1,0.5045
LSTM,50,0.7,1,0.49
Transformer,50,0.7,1,0.76325
RNN,50,0.7,2,0.50475
LSTM,50,0.7,2,0.49675
Transformer,50,0.7,2,0.76325
RNN,50,1.0,0,0.508
LSTM,50,1.0,0,0.495
Transformer,50,1.0,0,0.687
RNN,50,1.0,1,0.51025
LSTM,50,1.0,1,0.49175
Transformer,50,1.0,1,0.6865
RNN,50,1.0,2,0.50775
LSTM,50,1.0,2,0.50075
Transformer,50,1.0,2,0.6875
RNN,100,0.0,0,0.494
LSTM,100,0.0,0,1.0
Transformer,100,0.0,0,1.0
RNN,100,0.0,1,0.494
LSTM,100,0.0,1,1.0
Transformer,100,0.0,1,1.0
RNN,100,0.0,2,0.506
LSTM,100,0.0,2,1.0
Transformer,100,0.0,2,1.0
RNN,100,0.1,0,0.506
LSTM,100,0.1,0,0.5025
Transformer,100,0.1,0,1.0
RNN,100,0.1,1,0.50125
LSTM,100,0.1,1,0.5
Transformer,100,0.1,1,1.0
RNN,100,0.1,2,0.497
LSTM,100,0.1,2,0.5005
Transformer,100,0.1,2,1.0
RNN,100,0.2,0,0.5195
LSTM,100,0.2,0,0.50675
Transformer,100,0.2,0,0.98875
RNN,100,0.2,1,0.5025
LSTM,100,0.2,1,0.50175
Transformer,100,0.2,1,0.994
RNN,100,0.2,2,0.497
LSTM,100,0.2,2,0.50725
Transformer,100,0.2,2,0.99425
RNN,100,0.3,0,0.94075
LSTM,100,0.3,0,0.50525
Transformer,100,0.3,0,0.9505
RNN,100,0.3,1,0.51
LSTM,100,0.3,1,0.50375
Transformer,100,0.3,1,0.95125
RNN,100,0.3,2,0.941
