,DBC,EEM,EFA,GLD,HYG,IEF,IWM,LQD,QQQ,SPY,TLT,VNQ
DBC,0.03999490749640995,0.04151286180296463,0.04503540072250907,0.03908996146293644,0.04656771650247931,-0.009816207376116506,-0.004368613135571853,0.0035440383228677293,0.015151188335340857,0.0016602651450829823,0.016278744788522613,0.04585295587109284
EEM,0.04151286180296463,0.05049557539300254,0.04644434538067703,0.03911338960716245,0.048216209935676206,-0.00924901264655902,-0.004188271598528551,0.0035732784525000323,0.014975183984111363,0.0014062000148827468,0.014823726878899908,0.04397962020600972
EFA,0.04503540072250907,0.04644434538067703,0.06290245639916604,0.04508497710578709,0.053886875082255786,-0.01166068482234964,-0.005202836241543914,0.003650450110547267,0.01739257085955434,0.0018046255501982785,0.019214285068235987,0.05879106960709503
GLD,0.03908996146293644,0.03911338960716245,0.04508497710578709,0.04841652672288615,0.05440542479611561,-0.010241925737039768,-0.004362072372526053,0.004369050506392762,0.016165257269309265,0.005589297375028849,0.019953955470135717,0.046410294294551666
HYG,0.04656771650247931,0.048216209935676206,0.053886875082255786,0.05440542479611561,0.07917420358779077,-0.012298940395880725,-0.005683126579097814,0.0043622940701086126,0.018954894124801842,0.00788457133902661,0.025317364550718757,0.05730762124816015
IEF,-0.009816207376116506,-0.00924901264655902,-0.01166068482234964,-0.010241925737039768,-0.012298940395880725,0.023632838010316865,0.009887022764956151,0.007461785531098449,-0.002348783059621402,0.004706205811608138,-0.0068480458378653184,-0.0076951209679924
IWM,-0.004368613135571853,-0.004188271598528551,-0.005202836241543914,-0.004362072372526053,-0.005683126579097814,0.009887022764956151,0.004983330800096646,0.0035472802379970317,-0.0007786671368575997,0.0027917677732706885,-0.002724930895511117,-0.003450591978079939
LQD,0.0035440383228677293,0.0035732784525000323,0.003650450110547267,0.004369050506392762,0.0043622940701086126,0.007461785531098449,0.0035472802379970317,0.008078538272204318,0.004456806222866816,0.0025620985374870437,0.0014773688306625767,0.004911232721809268
QQQ,0.015151188335340857,0.014975183984111363,0.01739257085955434,0.016165257269309265,0.018954894124801842,-0.002348783059621402,-0.0007786671368575997,0.004456806222866816,0.012298943758139844,0.0008540910658227814,0.007830117654072696,0.017819349414308863
SPY,0.0016602651450829823,0.0014062000148827468,0.0018046255501982785,0.005589297375028849,0.00788457133902661,0.004706205811608138,0.0027917677732706885,0.0025620985374870437,0.0008540910658227814,0.03030065124741607,0.011734550768122031,0.00292504953901172
TLT,0.016278744788522613,0.014823726878899908,0.019214285068235987,0.019953955470135717,0.025317364550718757,-0.0068480458378653184,-0.002724930895511117,0.0014773688306625767,0.007830117654072696,0.011734550768122031,0.03725879491652786,0.01676210835533546
VNQ,0.04585295587109284,0.04397962020600972,0.05879106960709503,0.046410294294551666,0.05730762124816015,-0.0076951209679924,-0.003450591978079939,0.004911232721809268,0.017819349414308863,0.00292504953901172,0.01676210835533546,0.09174948872141123
