tag,d_model,heads,depth,dropout,AnnRet,Vol,Sharpe,MaxDD,Turnover
sec58_tfm_d64_h2_L2_dr0.0,64,2,2,0.0,0.1469,0.1365,0.1192,-0.2021,0.4111
sec58_tfm_d96_h2_L3_dr0.0,96,2,3,0.0,0.1359,0.134,0.11,-0.205,0.3179
sec58_tfm_d96_h4_L3_dr0.1,96,4,3,0.1,0.136,0.1342,0.1099,-0.2061,0.3224
sec58_tfm_d128_h2_L2_dr0.1,128,2,2,0.1,0.1358,0.1342,0.1098,-0.2059,0.3206
sec58_tfm_d64_h6_L3_dr0.0,64,6,3,0.0,0.1356,0.134,0.1098,-0.205,0.3168
sec58_tfm_d96_h2_L2_dr0.0,96,2,2,0.0,0.1358,0.1341,0.1098,-0.2057,0.3198
sec58_tfm_d96_h2_L3_dr0.1,96,2,3,0.1,0.1356,0.1341,0.1097,-0.2058,0.317
sec58_tfm_d64_h4_L3_dr0.0,64,4,3,0.0,0.1352,0.134,0.1094,-0.2055,0.313
sec58_tfm_d64_h4_L4_dr0.1,64,4,4,0.1,0.1352,0.134,0.1094,-0.2056,0.3135
sec58_tfm_d128_h4_L3_dr0.0,128,4,3,0.0,0.1333,0.1337,0.1076,-0.2073,0.303
sec58_tfm_d96_h2_L4_dr0.1,96,2,4,0.1,0.1333,0.1337,0.1076,-0.2072,0.3029
sec58_tfm_d96_h4_L4_dr0.0,96,4,4,0.0,0.1333,0.1338,0.1075,-0.2079,0.3052
sec58_tfm_d96_h4_L4_dr0.1,96,4,4,0.1,0.1332,0.1337,0.1075,-0.2071,0.3024
sec58_tfm_d128_h6_L3_dr0.0,128,6,3,0.0,0.1331,0.1337,0.1074,-0.2073,0.3012
sec58_tfm_d64_h4_L4_dr0.0,64,4,4,0.0,0.133,0.1336,0.1074,-0.2067,0.2994
sec58_tfm_d64_h6_L2_dr0.1,64,6,2,0.1,0.133,0.1337,0.1073,-0.2075,0.3015
sec58_tfm_d96_h6_L3_dr0.1,96,6,3,0.1,0.133,0.1337,0.1073,-0.2076,0.3015
sec58_tfm_d96_h6_L2_dr0.1,96,6,2,0.1,0.1327,0.1336,0.1071,-0.2071,0.2963
sec58_tfm_d64_h2_L4_dr0.1,64,2,4,0.1,0.1328,0.1336,0.1071,-0.207,0.2968
sec58_tfm_d128_h2_L3_dr0.0,128,2,3,0.0,0.1327,0.1336,0.107,-0.2074,0.298
sec58_tfm_d128_h4_L4_dr0.0,128,4,4,0.0,0.1326,0.1336,0.107,-0.2075,0.2975
sec58_tfm_d64_h2_L3_dr0.0,64,2,3,0.0,0.1325,0.1336,0.1068,-0.2077,0.2976
sec58_tfm_d64_h6_L4_dr0.0,64,6,4,0.0,0.1324,0.1336,0.1068,-0.2079,0.2963
sec58_tfm_d64_h6_L4_dr0.1,64,6,4,0.1,0.1321,0.1335,0.1065,-0.2077,0.2925
