,weekly_r_gross,weekly_r_net,costs
2019-01-11,0.01517895,0.01517895,0.00000000
2019-01-18,0.01238690,0.01238690,0.00000000
2019-01-25,0.00214026,0.00214026,0.00000000
2019-02-01,0.01308255,0.01308255,0.00000000
2019-02-08,0.00143987,0.00143987,0.00000000
2019-02-15,0.01222010,0.01222010,0.00000000
2019-02-22,0.00544066,0.00544066,0.00000000
2019-03-01,-0.00661814,-0.00661814,0.00000000
2019-03-08,-0.00464068,-0.00464068,0.00000000
2019-03-15,0.02193197,0.02193197,0.00000000
2019-03-22,0.00484503,0.00484503,0.00000000
2019-03-29,0.00753312,0.00753312,0.00000000
2019-04-05,0.01079243,0.01079243,0.00000000
2019-04-12,-0.00123217,-0.00123217,0.00000000
2019-04-26,0.00150144,0.00150144,0.00000000
2019-05-03,0.00170220,0.00170220,0.00000000
2019-05-10,-0.01026737,-0.01026737,0.00000000
2019-05-17,-0.00619708,-0.00619708,0.00000000
2019-05-24,-0.00068051,-0.00068051,0.00000000
2019-05-31,-0.01103828,-0.01103828,0.00000000
2019-06-07,0.02373959,0.02373959,0.00000000
2019-06-14,0.00052879,0.00052879,0.00000000
2019-06-21,0.02281886,0.02281886,0.00000000
2019-06-28,-0.00131984,-0.00131984,0.00000000
2019-07-05,0.00386381,0.00386381,0.00000000
2019-07-12,0.00493520,0.00493520,0.00000000
2019-07-19,-0.00302424,-0.00302424,0.00000000
2019-07-26,0.00848037,0.00848037,0.00000000
2019-08-02,-0.00466104,-0.00466104,0.00000000
2019-08-09,-0.00313624,-0.00313624,0.00000000
2019-08-16,0.01140227,0.01140227,0.00000000
2019-08-23,-0.00017978,-0.00017978,0.00000000
2019-08-30,0.01395927,0.01395927,0.00000000
2019-09-06,0.01052160,0.01052160,0.00000000
2019-09-13,-0.00925632,-0.00925632,0.00000000
2019-09-20,0.01282988,0.01282988,0.00000000
2019-09-27,-0.01593606,-0.01593606,0.00000000
2019-10-04,0.00192072,0.00192072,0.00000000
2019-10-11,-0.00798738,-0.00798738,0.00000000
2019-10-18,0.00106235,0.00106235,0.00000000
2019-10-25,0.01119361,0.01119361,0.00000000
2019-11-01,0.01073879,0.01073879,0.00000000
2019-11-08,-0.00645619,-0.00645619,0.00000000
2019-11-15,0.00888573,0.00888573,0.00000000
2019-11-22,-0.00275711,-0.00275711,0.00000000
2019-11-29,0.00619229,0.00619229,0.00000000
2019-12-06,-0.00013152,-0.00013152,0.00000000
2019-12-13,0.00619581,0.00619581,0.00000000
2019-12-20,0.01058483,0.01058483,0.00000000
2019-12-27,0.00779833,0.00779833,0.00000000
2020-01-03,0.00222405,0.00222405,0.00000000
2020-01-10,0.00317419,0.00317419,0.00000000
2020-01-17,0.00644284,0.00644284,0.00000000
2020-01-24,-0.00264565,-0.00264565,0.00000000
2020-01-31,-0.01922353,-0.01922353,0.00000000
2020-02-07,0.01512367,0.01512367,0.00000000
