,weekly_r_gross,weekly_r_net,costs
2019-01-11,0.02409044,0.02359044,0.00050000
2019-01-18,0.01091732,0.01067238,0.00024494
2019-01-25,0.00389983,0.00377112,0.00012872
2019-02-01,0.01243152,0.01234553,0.00008599
2019-02-08,0.00053878,0.00042624,0.00011254
2019-02-15,0.01264064,0.01258521,0.00005543
2019-02-22,0.00676091,0.00662653,0.00013438
2019-03-01,-0.00686350,-0.00700152,0.00013802
2019-03-08,-0.00773244,-0.00780715,0.00007471
2019-03-15,0.01586932,0.01577682,0.00009249
2019-03-22,0.00082218,0.00074136,0.00008082
2019-03-29,0.00757652,0.00743532,0.00014120
2019-04-05,0.01307751,0.01288640,0.00019112
2019-04-12,0.00187711,0.00183083,0.00004628
2019-04-26,0.00164889,0.00161769,0.00003119
2019-05-03,0.00204744,0.00197547,0.00007197
2019-05-10,-0.01477459,-0.01485548,0.00008089
2019-05-17,-0.00500987,-0.00509250,0.00008263
2019-05-24,-0.00400725,-0.00405234,0.00004509
2019-05-31,-0.00848394,-0.00857487,0.00009094
2019-06-07,0.01819330,0.01801542,0.00017788
2019-06-14,0.00249062,0.00233372,0.00015690
2019-06-21,0.02070362,0.02062043,0.00008319
2019-06-28,0.00161283,0.00158618,0.00002665
2019-07-05,0.00591303,0.00584352,0.00006951
2019-07-12,0.00118574,0.00112644,0.00005930
2019-07-19,-0.00616689,-0.00622257,0.00005568
2019-07-26,0.00519116,0.00515035,0.00004080
2019-08-02,-0.01143753,-0.01150720,0.00006967
2019-08-09,0.00419127,0.00410265,0.00008862
2019-08-16,0.00180192,0.00172511,0.00007682
2019-08-23,-0.00751473,-0.00766061,0.00014588
2019-08-30,0.01280932,0.01258343,0.00022589
2019-09-06,0.00944615,0.00924835,0.00019780
2019-09-13,-0.00548345,-0.00553395,0.00005050
2019-09-20,0.00896592,0.00891903,0.00004688
2019-09-27,-0.00694156,-0.00704331,0.00010175
2019-10-04,0.00337845,0.00323743,0.00014101
2019-10-11,0.00086021,0.00079048,0.00006972
2019-10-18,0.00532294,0.00522326,0.00009969
2019-10-25,0.00805917,0.00793165,0.00012751
2019-11-01,0.00952154,0.00945548,0.00006606
2019-11-08,-0.00475061,-0.00482899,0.00007838
2019-11-15,0.00530988,0.00521707,0.00009281
2019-11-22,-0.00151780,-0.00154428,0.00002648
2019-11-29,0.00457727,0.00452159,0.00005568
2019-12-06,0.00312212,0.00306506,0.00005706
2019-12-13,0.00738733,0.00729883,0.00008850
2019-12-20,0.00588317,0.00570804,0.00017513
2019-12-27,0.00744003,0.00731047,0.00012956
2020-01-03,0.00403665,0.00400177,0.00003488
2020-01-10,0.00078042,0.00062005,0.00016037
2020-01-17,0.00822641,0.00810738,0.00011903
2020-01-24,-0.00583866,-0.00591952,0.00008086
2020-01-31,-0.00839070,-0.00848181,0.00009110
2020-02-07,0.01076860,0.01073422,0.00003439
2020-02-14,0.01029502,0.01024335,0.00005167
2020-02-21,0.00226734,0.00217137,0.00009597
2020-02-28,-0.04658497,-0.04667459,0.00008962
2020-03-06,0.02562205,0.02543911,0.00018293
2020-03-13,-0.08378722,-0.08389237,0.00010515
2020-03-20,-0.07950433,-0.07982446,0.00032013
2020-03-27,0.11505464,0.11447839,0.00057625
2020-04-03,-0.02785201,-0.02814751,0.00029550
2020-04-17,0.13051087,0.13033758,0.00017329
2020-04-24,0.00770088,0.00694867,0.00075220
2020-05-01,-0.00072851,-0.00140837,0.00067986
2020-05-08,0.03020676,0.02966175,0.00054501
2020-05-15,0.00960796,0.00890667,0.00070129
2020-05-22,0.02800377,0.02740515,0.00059862
2020-05-29,0.01797098,0.01768848,0.00028249
2020-06-05,0.04530365,0.04496545,0.00033819
2020-06-12,-0.00453061,-0.00481459,0.00028398
2020-06-19,0.00510780,0.00481860,0.00028920
2020-06-26,-0.02221946,-0.02284642,0.00062696
2020-07-10,0.05575984,0.05543354,0.00032630
2020-07-17,0.00902640,0.00821133,0.00081507
2020-07-24,0.00433381,0.00377845,0.00055536
2020-07-31,0.01704482,0.01659913,0.00044569
2020-08-07,0.03429150,0.03370997,0.00058154
2020-08-14,-0.01213166,-0.01293500,0.00080334
2020-08-21,0.00845522,0.00806016,0.00039506
2020-08-28,0.01284772,0.01221219,0.00063553
2020-09-04,-0.01320385,-0.01357622,0.00037237
2020-09-11,-0.01429824,-0.01480634,0.00050810
2020-09-18,-0.00051460,-0.00100838,0.00049378
2020-09-25,-0.00413604,-0.00460816,0.00047212
2020-10-02,0.01072508,0.01016822,0.00055686
2020-10-09,0.03611716,0.03540056,0.00071659
2020-10-16,-0.00298718,-0.00361641,0.00062923
2020-10-23,-0.00693229,-0.00745204,0.00051975
2020-10-30,-0.03432092,-0.03481615,0.00049523
2020-11-06,0.05668798,0.05629888,0.00038911
2020-11-13,0.00764304,0.00725068,0.00039236
2020-11-20,0.00872943,0.00828761,0.00044182
2020-11-27,0.01859378,0.01814661,0.00044717
2020-12-04,0.00777449,0.00726663,0.00050785
2020-12-11,0.00960143,0.00894459,0.00065684
2020-12-18,0.01655428,0.01586983,0.00068445
2021-01-08,0.01020995,0.00986142,0.00034853
2021-01-15,0.00016125,-0.00026441,0.00042566
2021-01-22,0.02352636,0.02281207,0.00071429
2021-01-29,-0.01375309,-0.01427609,0.00052300
2021-02-05,0.04430649,0.04386201,0.00044448
2021-02-12,0.00050267,-0.00023626,0.00073894
2021-02-19,-0.01627843,-0.01640737,0.00012895
2021-02-26,-0.01264726,-0.01278130,0.00013404
2021-03-05,0.01001216,0.00915600,0.00085616
2021-03-12,0.00076125,0.00003832,0.00072293
2021-03-19,-0.00543909,-0.00589882,0.00045973
2021-03-26,0.00283791,0.00218522,0.00065269
2021-04-09,0.01627906,0.01615706,0.00012200
2021-04-16,0.01454944,0.01443584,0.00011360
2021-04-23,0.00308980,0.00304608,0.00004372
2021-04-30,-0.00213538,-0.00222384,0.00008846
2021-05-07,0.01095145,0.01084495,0.00010650
2021-05-14,-0.01246155,-0.01254652,0.00008497
2021-05-21,0.00176103,0.00167132,0.00008970
2021-05-28,0.01427805,0.01418622,0.00009183
2021-06-04,0.00974845,0.00968846,0.00005999
2021-06-11,0.00897937,0.00885954,0.00011982
2021-06-18,-0.01749690,-0.01761908,0.00012218
2021-06-25,0.00645749,0.00626850,0.00018899
2021-07-02,0.00657701,0.00638507,0.00019194
2021-07-09,0.00192037,0.00182992,0.00009045
2021-07-16,-0.00824785,-0.00838972,0.00014187
2021-07-23,0.00702783,0.00693253,0.00009530
2021-07-30,0.00149384,0.00143007,0.00006377
2021-08-06,-0.00321793,-0.00332311,0.00010518
2021-08-13,0.00400449,0.00385655,0.00014794
2021-08-20,-0.00685782,-0.00701189,0.00015407
2021-08-27,0.02368558,0.02345768,0.00022790
2021-09-03,0.00863669,0.00854077,0.00009592
2021-09-10,-0.01228780,-0.01237553,0.00008773
2021-09-17,-0.00303610,-0.00311132,0.00007522
2021-09-24,-0.00160202,-0.00165878,0.00005676
2021-10-01,-0.00747845,-0.00750377,0.00002533
2021-10-08,-0.00244055,-0.00252952,0.00008897
2021-10-15,0.01806374,0.01796220,0.00010154
2021-10-22,0.00537771,0.00532627,0.00005145
2021-10-29,0.00544333,0.00531856,0.00012477
2021-11-05,0.01654159,0.01645621,0.00008538
2021-11-12,-0.00232669,-0.00246169,0.00013500
2021-11-19,-0.00403353,-0.00420173,0.00016821
2021-11-26,-0.01781303,-0.01792846,0.00011543
2021-12-03,-0.00457631,-0.00482065,0.00024434
2021-12-10,0.00684374,0.00661212,0.00023163
2021-12-17,-0.00811242,-0.00830371,0.00019129
2021-12-31,0.01546749,0.01533488,0.00013261
2022-01-07,-0.01906868,-0.01916620,0.00009752
2022-01-14,0.00384312,0.00380210,0.00004101
2022-01-21,-0.02130831,-0.02139396,0.00008565
2022-01-28,-0.00632820,-0.00645565,0.00012745
2022-02-04,0.00758296,0.00734198,0.00024098
2022-02-11,-0.00372900,-0.00391836,0.00018937
2022-02-18,-0.00174923,-0.00192816,0.00017892
2022-02-25,0.00104080,0.00089288,0.00014792
2022-03-04,-0.00342116,-0.00362565,0.00020449
2022-03-11,-0.02478693,-0.02514243,0.00035550
2022-03-18,0.02449019,0.02430312,0.00018707
2022-03-25,-0.00001154,-0.00012844,0.00011689
2022-04-01,0.00810755,0.00798578,0.00012177
2022-04-08,-0.02088281,-0.02096912,0.00008631
2022-04-22,-0.02448607,-0.02458004,0.00009398
2022-04-29,0.00077661,0.00027367,0.00050294
2022-05-06,-0.01419451,-0.01473931,0.00054480
2022-05-13,-0.00888612,-0.00900367,0.00011755
2022-05-20,-0.00713225,-0.00735211,0.00021986
2022-05-27,0.03279876,0.03254656,0.00025220
2022-06-03,-0.00791070,-0.00811197,0.00020126
2022-06-10,-0.03034851,-0.03047006,0.00012155
2022-06-17,-0.03760416,-0.03767655,0.00007239
2022-06-24,-0.01623130,-0.01684351,0.00061222
2022-07-01,-0.01407497,-0.01475586,0.00068089
2022-07-08,-0.00229390,-0.00254403,0.00025013
2022-07-15,-0.00731813,-0.00747458,0.00015645
2022-07-22,0.02150757,0.02136463,0.00014294
2022-07-29,0.02955391,0.02923859,0.00031531
2022-08-05,-0.00375105,-0.00407032,0.00031927
2022-08-12,0.01842864,0.01820206,0.00022658
2022-08-19,-0.02086336,-0.02102000,0.00015664
2022-08-26,-0.01419949,-0.01430421,0.00010473
2022-09-02,-0.03201337,-0.03217835,0.00016498
2022-09-09,0.01301445,0.01283347,0.00018098
2022-09-16,-0.03161329,-0.03177459,0.00016131
2022-09-23,-0.03659140,-0.03671754,0.00012614
2022-09-30,-0.00792200,-0.00856974,0.00064774
2022-10-07,0.04161012,0.04130589,0.00030423
2022-10-14,-0.02223294,-0.02259902,0.00036608
2022-10-21,-0.00133234,-0.00192441,0.00059207
2022-10-28,0.02614725,0.02553815,0.00060910
2022-11-04,0.00861167,0.00829672,0.00031495
2022-11-11,0.04393085,0.04364260,0.00028825
2022-11-18,-0.00773312,-0.00783666,0.00010354
2022-11-25,0.00764172,0.00751859,0.00012313
2022-12-02,0.01866375,0.01856097,0.00010277
2022-12-09,-0.02782476,-0.02791827,0.00009351
2022-12-16,-0.00318472,-0.00347410,0.00028938
2022-12-23,-0.00180234,-0.00205223,0.00024988
2022-12-30,-0.00564079,-0.00584139,0.00020060
2023-01-06,0.02220977,0.02214989,0.00005988
2023-01-13,0.03011394,0.02995743,0.00015650
2023-01-20,0.00109643,0.00098219,0.00011425
2023-01-27,0.01304833,0.01296306,0.00008528
2023-02-03,-0.00887589,-0.00910157,0.00022568
2023-02-10,0.01547285,0.01507145,0.00040140
2023-02-17,-0.00551649,-0.00609550,0.00057900
2023-02-24,-0.01827718,-0.01834685,0.00006967
2023-03-03,0.01775271,0.01765471,0.00009800
2023-03-10,-0.01905562,-0.01916418,0.00010856
2023-03-17,0.01226027,0.01214838,0.00011189
2023-03-24,0.00799165,0.00791785,0.00007380
2023-03-31,0.02202150,0.02187316,0.00014834
2023-04-14,0.00133995,0.00127448,0.00006548
2023-04-21,-0.00500452,-0.00510811,0.00010359
2023-04-28,0.00626724,0.00621174,0.00005550
2023-05-05,-0.00403579,-0.00410438,0.00006859
2023-05-12,-0.00735685,-0.00748449,0.00012765
2023-05-19,-0.00353108,-0.00368149,0.00015041
2023-05-26,-0.00156070,-0.00162486,0.00006416
2023-06-02,0.01281349,0.01271747,0.00009602
2023-06-09,0.00411625,0.00396750,0.00014875
