,weekly_r_gross,weekly_r_net,costs
2019-01-11,0.01238888,0.01238888,0.00000000
2019-01-18,0.01309479,0.01309479,0.00000000
2019-01-25,0.00599324,0.00599324,0.00000000
2019-02-01,0.01113452,0.01113452,0.00000000
2019-02-08,0.00169924,0.00169924,0.00000000
2019-02-15,0.01336563,0.01336563,0.00000000
2019-02-22,0.00593563,0.00593563,0.00000000
2019-03-01,-0.00719539,-0.00719539,0.00000000
2019-03-08,-0.00173928,-0.00173928,0.00000000
2019-03-15,0.01829381,0.01829381,0.00000000
2019-03-22,0.00008181,0.00008181,0.00000000
2019-03-29,0.00853039,0.00853039,0.00000000
2019-04-05,0.00997989,0.00997989,0.00000000
2019-04-12,0.00151182,0.00151182,0.00000000
2019-04-26,0.00201958,0.00201958,0.00000000
2019-05-03,0.00125690,0.00125690,0.00000000
2019-05-10,-0.01193666,-0.01193666,0.00000000
2019-05-17,-0.00425706,-0.00425706,0.00000000
2019-05-24,-0.00563907,-0.00563907,0.00000000
2019-05-31,-0.00430349,-0.00430349,0.00000000
2019-06-07,0.02381448,0.02381448,0.00000000
2019-06-14,0.00246408,0.00246408,0.00000000
2019-06-21,0.02194701,0.02194701,0.00000000
2019-06-28,0.00157652,0.00157652,0.00000000
2019-07-05,0.00478677,0.00478677,0.00000000
2019-07-12,-0.00019611,-0.00019611,0.00000000
2019-07-19,-0.00595340,-0.00595340,0.00000000
2019-07-26,0.00553860,0.00553860,0.00000000
2019-08-02,-0.00807737,-0.00807737,0.00000000
2019-08-09,0.00114554,0.00114554,0.00000000
2019-08-16,0.00214838,0.00214838,0.00000000
2019-08-23,-0.00281381,-0.00281381,0.00000000
2019-08-30,0.01729776,0.01729776,0.00000000
2019-09-06,0.00893054,0.00893054,0.00000000
2019-09-13,-0.00164030,-0.00164030,0.00000000
2019-09-20,0.01151876,0.01151876,0.00000000
2019-09-27,-0.01046773,-0.01046773,0.00000000
2019-10-04,0.00237257,0.00237257,0.00000000
2019-10-11,-0.00009232,-0.00009232,0.00000000
2019-10-18,0.00362908,0.00362908,0.00000000
2019-10-25,0.00919104,0.00919104,0.00000000
2019-11-01,0.00907448,0.00907448,0.00000000
2019-11-08,-0.01175186,-0.01175186,0.00000000
2019-11-15,0.00568771,0.00568771,0.00000000
2019-11-22,-0.00061420,-0.00061420,0.00000000
2019-11-29,0.00423150,0.00423150,0.00000000
2019-12-06,0.00417725,0.00417725,0.00000000
2019-12-13,0.00646779,0.00646779,0.00000000
2019-12-20,0.01095961,0.01095961,0.00000000
2019-12-27,0.00736791,0.00736791,0.00000000
2020-01-03,0.00395288,0.00395288,0.00000000
2020-01-10,0.00480930,0.00480930,0.00000000
2020-01-17,0.01033862,0.01033862,0.00000000
2020-01-24,-0.00283655,-0.00283655,0.00000000
2020-01-31,-0.01643397,-0.01643397,0.00000000
2020-02-07,0.01799618,0.01799618,0.00000000
2020-02-14,0.01335572,0.01335572,0.00000000
2020-02-21,0.00048849,0.00048849,0.00000000
2020-02-28,-0.06923700,-0.06923700,0.00000000
2020-03-06,0.01234465,0.01234465,0.00000000
2020-03-13,-0.10083631,-0.10083631,0.00000000
2020-03-20,-0.06510317,-0.06510317,0.00000000
2020-03-27,0.10013853,0.10013853,0.00000000
2020-04-03,-0.02389285,-0.02389285,0.00000000
2020-04-17,0.10753966,0.10753966,0.00000000
2020-04-24,-0.00445284,-0.00445284,0.00000000
2020-05-01,-0.00068162,-0.00068162,0.00000000
2020-05-08,0.02792406,0.02792406,0.00000000
2020-05-15,-0.00377933,-0.00377933,0.00000000
2020-05-22,0.02403916,0.02403916,0.00000000
2020-05-29,0.02188558,0.02188558,0.00000000
2020-06-05,0.04169747,0.04169747,0.00000000
2020-06-12,-0.00181692,-0.00181692,0.00000000
2020-06-19,0.01025135,0.01025135,0.00000000
2020-06-26,-0.01358435,-0.01358435,0.00000000
2020-07-10,0.04297562,0.04297562,0.00000000
2020-07-17,0.00523729,0.00523729,0.00000000
2020-07-24,0.00680316,0.00680316,0.00000000
2020-07-31,0.01322246,0.01322246,0.00000000
2020-08-07,0.01898639,0.01898639,0.00000000
2020-08-14,-0.00966875,-0.00966875,0.00000000
2020-08-21,0.00543910,0.00543910,0.00000000
2020-08-28,0.01284742,0.01284742,0.00000000
2020-09-04,-0.01250183,-0.01250183,0.00000000
2020-09-11,-0.00951778,-0.00951778,0.00000000
2020-09-18,0.00461902,0.00461902,0.00000000
2020-09-25,-0.01573309,-0.01573309,0.00000000
2020-10-02,0.01232220,0.01232220,0.00000000
2020-10-09,0.02556250,0.02556250,0.00000000
