,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-01-11,0.057620,0.046790,0.054027,0.076801,0.119648,0.107872,0.114132,0.069856,0.048550,0.191490,0.037327,0.075887
2019-01-18,0.117495,0.134203,0.118568,0.064900,0.046547,0.086633,0.125368,0.054207,0.083425,0.077147,0.050253,0.041254
2019-01-25,0.073680,0.118556,0.156964,0.065880,0.043243,0.026646,0.030761,0.038828,0.181407,0.031805,0.170375,0.061856
2019-02-01,0.090609,0.082369,0.081207,0.082518,0.087212,0.050223,0.050948,0.069486,0.089936,0.062816,0.121681,0.130996
2019-02-08,0.062355,0.043190,0.050572,0.081392,0.098892,0.134303,0.102797,0.116550,0.049666,0.109466,0.055156,0.095662
2019-02-15,0.082244,0.091478,0.069035,0.092415,0.103552,0.057932,0.071574,0.113409,0.069496,0.114939,0.062161,0.071764
2019-02-22,0.081898,0.119837,0.074883,0.059043,0.078890,0.094873,0.094741,0.097936,0.101641,0.061074,0.046411,0.088774
2019-03-01,0.094830,0.093425,0.108247,0.070390,0.050702,0.110141,0.085620,0.067142,0.090322,0.071193,0.071151,0.086838
2019-03-08,0.066347,0.049322,0.086516,0.078849,0.080687,0.084183,0.083731,0.058259,0.050777,0.144768,0.161369,0.055193
2019-03-15,0.111936,0.129540,0.115152,0.118039,0.120760,0.030960,0.036752,0.056256,0.099807,0.044223,0.070412,0.066164
2019-03-22,0.056315,0.061207,0.049905,0.055094,0.063767,0.146816,0.127736,0.130037,0.086299,0.063433,0.060337,0.099054
2019-03-29,0.107455,0.103224,0.109909,0.097890,0.094043,0.054007,0.055693,0.048810,0.072736,0.088798,0.088085,0.079350
2019-04-05,0.071316,0.110471,0.049279,0.076347,0.073640,0.065136,0.096003,0.095269,0.059252,0.147454,0.100861,0.054972
2019-04-12,0.045823,0.038658,0.045051,0.045557,0.038646,0.235909,0.180488,0.135722,0.067905,0.047537,0.044776,0.073929
2019-04-26,0.108730,0.111630,0.120770,0.101089,0.122943,0.052233,0.044149,0.043301,0.073164,0.062991,0.081235,0.077765
2019-05-03,0.085461,0.091320,0.066982,0.108815,0.104091,0.064168,0.063823,0.069719,0.095278,0.064997,0.124846,0.060498
2019-05-10,0.085837,0.103480,0.060515,0.062321,0.051726,0.105340,0.134487,0.105900,0.070851,0.076307,0.077606,0.065628
2019-05-17,0.086998,0.093037,0.115565,0.079604,0.092297,0.085394,0.070466,0.079045,0.075461,0.070447,0.056004,0.095683
