,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-01-11,0.131791,0.115070,0.130557,0.115972,0.093201,0.042923,0.050013,0.038156,0.124825,0.036635,0.072988,0.047869
2019-01-18,0.082297,0.086316,0.079913,0.072126,0.073404,0.096712,0.111491,0.090043,0.072415,0.081086,0.074357,0.079840
2019-01-25,0.121402,0.110852,0.092877,0.091486,0.071529,0.063288,0.064222,0.074584,0.074133,0.062566,0.105389,0.067673
2019-02-01,0.090515,0.110928,0.096177,0.090698,0.084757,0.059262,0.059002,0.065155,0.068102,0.121868,0.075781,0.077756
2019-02-08,0.084830,0.089977,0.082639,0.078689,0.074163,0.077935,0.088443,0.075786,0.076974,0.075717,0.120698,0.074148
2019-02-15,0.082107,0.094687,0.079887,0.072699,0.072387,0.097138,0.087198,0.094555,0.075207,0.086905,0.081517,0.075713
2019-02-22,0.097423,0.080421,0.105982,0.101760,0.060573,0.066381,0.059716,0.066807,0.071262,0.076778,0.145426,0.067471
2019-03-01,0.084272,0.097541,0.086143,0.071135,0.084722,0.092244,0.091980,0.101389,0.071406,0.074123,0.073676,0.071369
2019-03-08,0.095914,0.108390,0.100285,0.085669,0.075115,0.077418,0.073230,0.070701,0.084432,0.083415,0.074897,0.070532
2019-03-15,0.075346,0.086189,0.077244,0.075486,0.071145,0.094771,0.086384,0.082732,0.071901,0.126184,0.077012,0.075606
2019-03-22,0.079722,0.105067,0.071675,0.092626,0.094084,0.096854,0.094120,0.090396,0.067373,0.077193,0.067983,0.062907
2019-03-29,0.068940,0.093106,0.086474,0.059991,0.063836,0.152632,0.149262,0.105881,0.052667,0.059856,0.054939,0.052417
2019-04-05,0.095891,0.109386,0.082747,0.082803,0.094950,0.074665,0.072324,0.073397,0.083831,0.077168,0.079322,0.073517
2019-04-12,0.087630,0.096667,0.099297,0.077142,0.085480,0.078577,0.076668,0.082108,0.078796,0.072031,0.084156,0.081448
2019-04-26,0.097524,0.095371,0.083480,0.091454,0.086701,0.074968,0.079368,0.073523,0.079029,0.073397,0.085624,0.079561
2019-05-03,0.082629,0.079788,0.095771,0.077028,0.074731,0.082759,0.092629,0.094341,0.078130,0.091211,0.071684,0.079299
2019-05-10,0.089233,0.119287,0.118107,0.084998,0.079215,0.070353,0.068974,0.091242,0.067961,0.076278,0.064327,0.070025
2019-05-17,0.090395,0.086289,0.081893,0.093175,0.084096,0.074221,0.073685,0.077823,0.085181,0.079520,0.082608,0.091115
2019-05-24,0.080139,0.092372,0.084154,0.077142,0.081406,0.092718,0.086254,0.083507,0.081374,0.078797,0.081660,0.080478
2019-05-31,0.076809,0.079413,0.096127,0.099969,0.071660,0.073879,0.070045,0.081558,0.067413,0.072468,0.137800,0.072858
2019-06-07,0.063117,0.075660,0.060677,0.056277,0.063526,0.134886,0.144042,0.070838,0.059750,0.115342,0.090980,0.064904
2019-06-14,0.088092,0.133422,0.073676,0.089222,0.069335,0.097963,0.092488,0.087150,0.065843,0.072124,0.069041,0.061643
