,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-01-11,0.047110,0.045800,0.048112,0.050077,0.053537,0.164120,0.163460,0.105907,0.050330,0.138344,0.058828,0.074375
2019-01-18,0.079438,0.101736,0.079150,0.100607,0.090922,0.069161,0.065145,0.071228,0.099146,0.075043,0.093414,0.075011
2019-01-25,0.059822,0.064751,0.066098,0.065633,0.076128,0.121835,0.129990,0.075110,0.073484,0.126273,0.062003,0.078872
2019-02-01,0.072110,0.066838,0.068385,0.069426,0.071985,0.132681,0.132867,0.088277,0.081691,0.063230,0.077118,0.075391
2019-02-08,0.071339,0.091866,0.070184,0.070708,0.087492,0.103456,0.126603,0.090420,0.073005,0.077724,0.055764,0.081438
2019-02-15,0.083229,0.083462,0.083537,0.095304,0.100323,0.073383,0.078121,0.073712,0.087140,0.076187,0.080760,0.084842
2019-02-22,0.070759,0.088394,0.067370,0.068303,0.102065,0.091825,0.116331,0.088999,0.081988,0.079865,0.059264,0.084837
2019-03-01,0.082281,0.080939,0.079756,0.089105,0.079670,0.078370,0.078966,0.075277,0.089164,0.087937,0.090351,0.088184
2019-03-08,0.060059,0.059759,0.058115,0.061540,0.068117,0.119534,0.108572,0.084778,0.062702,0.127568,0.114719,0.074538
2019-03-15,0.093266,0.095458,0.084599,0.081157,0.100197,0.071325,0.075357,0.076828,0.093273,0.062852,0.085406,0.080283
2019-03-22,0.082991,0.074611,0.090130,0.073542,0.073749,0.075045,0.076352,0.077390,0.091594,0.083325,0.097327,0.103945
2019-03-29,0.119697,0.128156,0.122638,0.105928,0.112089,0.038528,0.038914,0.043962,0.075818,0.055504,0.089131,0.069635
2019-04-05,0.072065,0.070871,0.079665,0.075799,0.070918,0.094606,0.111039,0.094949,0.076305,0.083428,0.083138,0.087216
2019-04-12,0.079494,0.080290,0.073687,0.084033,0.078140,0.088202,0.090777,0.083223,0.083044,0.096968,0.081150,0.080991
2019-04-26,0.066994,0.072679,0.073652,0.067572,0.069681,0.123347,0.137134,0.086097,0.074424,0.083502,0.071456,0.073462
2019-05-03,0.078113,0.092265,0.071901,0.078833,0.081282,0.078036,0.073375,0.072726,0.078626,0.072624,0.144656,0.077563
2019-05-10,0.077744,0.068834,0.068770,0.078455,0.081469,0.091765,0.093046,0.078423,0.089939,0.084210,0.099654,0.087691
2019-05-17,0.076388,0.087964,0.082360,0.073255,0.077535,0.099747,0.101159,0.085928,0.077314,0.082528,0.081435,0.074387
2019-05-24,0.088348,0.104438,0.104240,0.081185,0.100648,0.063189,0.066583,0.067968,0.067891,0.089855,0.097453,0.068203
2019-05-31,0.083471,0.096452,0.072066,0.069507,0.085729,0.087884,0.097350,0.078970,0.098358,0.085435,0.061681,0.083098
2019-06-07,0.115947,0.127002,0.108870,0.090234,0.061551,0.046058,0.044935,0.059371,0.105336,0.048127,0.132096,0.060473
