,weekly_r_gross,weekly_r_net,costs
2019-01-11,0.01646966,0.01646966,0.00000000
2019-01-18,0.01012626,0.01012626,0.00000000
2019-01-25,0.00395154,0.00395154,0.00000000
2019-02-01,0.01249407,0.01249407,0.00000000
2019-02-08,0.00102485,0.00102485,0.00000000
2019-02-15,0.01318766,0.01318766,0.00000000
2019-02-22,0.00561038,0.00561038,0.00000000
2019-03-01,-0.00695794,-0.00695794,0.00000000
2019-03-08,-0.00448716,-0.00448716,0.00000000
2019-03-15,0.02036531,0.02036531,0.00000000
2019-03-22,0.00254817,0.00254817,0.00000000
2019-03-29,0.00758675,0.00758675,0.00000000
2019-04-05,0.01073693,0.01073693,0.00000000
2019-04-12,0.00011611,0.00011611,0.00000000
2019-04-26,0.00159706,0.00159706,0.00000000
2019-05-03,0.00188694,0.00188694,0.00000000
2019-05-10,-0.01162598,-0.01162598,0.00000000
2019-05-17,-0.00587844,-0.00587844,0.00000000
2019-05-24,-0.00202452,-0.00202452,0.00000000
2019-05-31,-0.00861391,-0.00861391,0.00000000
2019-06-07,0.02308656,0.02308656,0.00000000
2019-06-14,0.00133705,0.00133705,0.00000000
2019-06-21,0.02158424,0.02158424,0.00000000
2019-06-28,0.00016942,0.00016942,0.00000000
2019-07-05,0.00504166,0.00504166,0.00000000
2019-07-12,0.00298324,0.00298324,0.00000000
2019-07-19,-0.00365583,-0.00365583,0.00000000
2019-07-26,0.00703428,0.00703428,0.00000000
2019-08-02,-0.00677587,-0.00677587,0.00000000
2019-08-09,-0.00186488,-0.00186488,0.00000000
2019-08-16,0.00678820,0.00678820,0.00000000
2019-08-23,-0.00252429,-0.00252429,0.00000000
2019-08-30,0.01362494,0.01362494,0.00000000
2019-09-06,0.00869898,0.00869898,0.00000000
2019-09-13,-0.00932270,-0.00932270,0.00000000
2019-09-20,0.01264541,0.01264541,0.00000000
2019-09-27,-0.01328928,-0.01328928,0.00000000
2019-10-04,0.00151223,0.00151223,0.00000000
2019-10-11,-0.00129701,-0.00129701,0.00000000
2019-10-18,0.00226904,0.00226904,0.00000000
2019-10-25,0.00890811,0.00890811,0.00000000
2019-11-01,0.00986244,0.00986244,0.00000000
2019-11-08,-0.00622946,-0.00622946,0.00000000
2019-11-15,0.00725489,0.00725489,0.00000000
2019-11-22,-0.00219648,-0.00219648,0.00000000
2019-11-29,0.00554901,0.00554901,0.00000000
2019-12-06,0.00183504,0.00183504,0.00000000
2019-12-13,0.00625704,0.00625704,0.00000000
2019-12-20,0.00940111,0.00940111,0.00000000
2019-12-27,0.00751756,0.00751756,0.00000000
2020-01-03,0.00288953,0.00288953,0.00000000
2020-01-10,0.00299737,0.00299737,0.00000000
2020-01-17,0.00780175,0.00780175,0.00000000
2020-01-24,-0.00377545,-0.00377545,0.00000000
2020-01-31,-0.01690707,-0.01690707,0.00000000
2020-02-07,0.01502886,0.01502886,0.00000000
2020-02-14,0.00897900,0.00897900,0.00000000
2020-02-21,-0.00081675,-0.00081675,0.00000000
2020-02-28,-0.07446343,-0.07446343,0.00000000
2020-03-06,0.00997801,0.00997801,0.00000000
2020-03-13,-0.08818956,-0.08818956,0.00000000
2020-03-20,-0.02001492,-0.02001492,0.00000000
2020-03-27,0.12984926,0.12984926,0.00000000
2020-04-03,-0.01518949,-0.01518949,0.00000000
2020-04-17,0.09753798,0.09753798,0.00000000
2020-04-24,-0.01815466,-0.01815466,0.00000000
2020-05-01,0.00127521,0.00127521,0.00000000
2020-05-08,0.01666038,0.01666038,0.00000000
2020-05-15,-0.01525427,-0.01525427,0.00000000
2020-05-22,0.03359785,0.03359785,0.00000000
2020-05-29,0.01792501,0.01792501,0.00000000
2020-06-05,0.02935532,0.02935532,0.00000000
2020-06-12,-0.01144901,-0.01144901,0.00000000
2020-06-19,0.01338687,0.01338687,0.00000000
2020-06-26,-0.00944079,-0.00944079,0.00000000
2020-07-10,0.03902313,0.03902313,0.00000000
2020-07-17,0.00798022,0.00798022,0.00000000
2020-07-24,0.00620231,0.00620231,0.00000000
2020-07-31,0.01241262,0.01241262,0.00000000
2020-08-07,0.01810406,0.01810406,0.00000000
2020-08-14,-0.01284454,-0.01284454,0.00000000
2020-08-21,0.00611714,0.00611714,0.00000000
2020-08-28,0.01586302,0.01586302,0.00000000
2020-09-04,-0.01134077,-0.01134077,0.00000000
2020-09-11,-0.01726146,-0.01726146,0.00000000
2020-09-18,0.00293738,0.00293738,0.00000000
2020-09-25,-0.01613137,-0.01613137,0.00000000
2020-10-02,0.01444794,0.01444794,0.00000000
2020-10-09,0.02068484,0.02068484,0.00000000
2020-10-16,-0.00392850,-0.00392850,0.00000000
2020-10-23,-0.00081257,-0.00081257,0.00000000
2020-10-30,-0.03013477,-0.03013477,0.00000000
2020-11-06,0.04827222,0.04827222,0.00000000
2020-11-13,0.01265510,0.01265510,0.00000000
2020-11-20,0.00693737,0.00693737,0.00000000
2020-11-27,0.01715503,0.01715503,0.00000000
2020-12-04,0.00735486,0.00735486,0.00000000
2020-12-11,0.00358530,0.00358530,0.00000000
2020-12-18,0.01488115,0.01488115,0.00000000
2021-01-08,0.01548577,0.01548577,0.00000000
2021-01-15,-0.00231937,-0.00231937,0.00000000
2021-01-22,0.01307650,0.01307650,0.00000000
2021-01-29,-0.01776446,-0.01776446,0.00000000
2021-02-05,0.03132676,0.03132676,0.00000000
2021-02-12,0.00714411,0.00714411,0.00000000
2021-02-19,-0.00778528,-0.00778528,0.00000000
2021-02-26,-0.02275137,-0.02275137,0.00000000
2021-03-05,-0.00132585,-0.00132585,0.00000000
2021-03-12,0.01558396,0.01558396,0.00000000
2021-03-19,-0.00798355,-0.00798355,0.00000000
2021-03-26,0.00233555,0.00233555,0.00000000
2021-04-09,0.01747210,0.01747210,0.00000000
2021-04-16,0.01426312,0.01426312,0.00000000
2021-04-23,0.00236561,0.00236561,0.00000000
2021-04-30,-0.00163210,-0.00163210,0.00000000
2021-05-07,0.01249798,0.01249798,0.00000000
2021-05-14,-0.01324599,-0.01324599,0.00000000
2021-05-21,0.00058813,0.00058813,0.00000000
2021-05-28,0.01469038,0.01469038,0.00000000
2021-06-04,0.00900982,0.00900982,0.00000000
2021-06-11,0.00870121,0.00870121,0.00000000
2021-06-18,-0.02062135,-0.02062135,0.00000000
2021-06-25,0.01544823,0.01544823,0.00000000
2021-07-02,0.00865577,0.00865577,0.00000000
2021-07-09,0.00049268,0.00049268,0.00000000
2021-07-16,-0.00719985,-0.00719985,0.00000000
2021-07-23,0.00836425,0.00836425,0.00000000
2021-07-30,0.00190984,0.00190984,0.00000000
2021-08-06,-0.00167611,-0.00167611,0.00000000
2021-08-13,0.00327533,0.00327533,0.00000000
2021-08-20,-0.01277479,-0.01277479,0.00000000
2021-08-27,0.02816515,0.02816515,0.00000000
2021-09-03,0.00765532,0.00765532,0.00000000
2021-09-10,-0.01118574,-0.01118574,0.00000000
2021-09-17,-0.00409542,-0.00409542,0.00000000
2021-09-24,-0.00234824,-0.00234824,0.00000000
2021-10-01,-0.00700474,-0.00700474,0.00000000
2021-10-08,-0.00202114,-0.00202114,0.00000000
2021-10-15,0.01765518,0.01765518,0.00000000
2021-10-22,0.00534914,0.00534914,0.00000000
2021-10-29,0.00473786,0.00473786,0.00000000
2021-11-05,0.01609842,0.01609842,0.00000000
2021-11-12,-0.00137688,-0.00137688,0.00000000
2021-11-19,-0.00308934,-0.00308934,0.00000000
2021-11-26,-0.02580686,-0.02580686,0.00000000
2021-12-03,-0.00682683,-0.00682683,0.00000000
2021-12-10,0.01982166,0.01982166,0.00000000
2021-12-17,0.00192406,0.00192406,0.00000000
2021-12-31,0.02277608,0.02277608,0.00000000
2022-01-07,-0.01827540,-0.01827540,0.00000000
2022-01-14,0.00110883,0.00110883,0.00000000
2022-01-21,-0.02530986,-0.02530986,0.00000000
2022-01-28,-0.00711404,-0.00711404,0.00000000
2022-02-04,0.00626709,0.00626709,0.00000000
2022-02-11,-0.00303464,-0.00303464,0.00000000
2022-02-18,-0.00622319,-0.00622319,0.00000000
2022-02-25,0.00343484,0.00343484,0.00000000
2022-03-04,0.00571171,0.00571171,0.00000000
2022-03-11,-0.02260662,-0.02260662,0.00000000
2022-03-18,-0.00088432,-0.00088432,0.00000000
2022-03-25,0.00871589,0.00871589,0.00000000
2022-04-01,0.01119296,0.01119296,0.00000000
2022-04-08,-0.01989217,-0.01989217,0.00000000
2022-04-22,-0.03088655,-0.03088655,0.00000000
2022-04-29,-0.01314890,-0.01314890,0.00000000
2022-05-06,-0.01557241,-0.01557241,0.00000000
2022-05-13,-0.00373212,-0.00373212,0.00000000
2022-05-20,-0.00284031,-0.00284031,0.00000000
2022-05-27,0.03974790,0.03974790,0.00000000
2022-06-03,-0.00772905,-0.00772905,0.00000000
2022-06-10,-0.02898283,-0.02898283,0.00000000
2022-06-17,-0.04242033,-0.04242033,0.00000000
2022-06-24,0.02308707,0.02308707,0.00000000
2022-07-01,-0.01298456,-0.01298456,0.00000000
2022-07-08,0.00263399,0.00263399,0.00000000
2022-07-15,0.00348032,0.00348032,0.00000000
2022-07-22,0.02227709,0.02227709,0.00000000
2022-07-29,0.02939614,0.02939614,0.00000000
2022-08-05,-0.00345801,-0.00345801,0.00000000
2022-08-12,0.02074378,0.02074378,0.00000000
2022-08-19,-0.02203552,-0.02203552,0.00000000
2022-08-26,-0.01769166,-0.01769166,0.00000000
