,weekly_r_gross,weekly_r_net,costs
2019-01-11,0.01222477,0.01222477,0.00000000
2019-01-18,0.01315516,0.01315516,0.00000000
2019-01-25,0.00602486,0.00602486,0.00000000
2019-02-01,0.01109818,0.01109818,0.00000000
2019-02-08,0.00173077,0.00173077,0.00000000
2019-02-15,0.01337598,0.01337598,0.00000000
2019-02-22,0.00593838,0.00593838,0.00000000
2019-03-01,-0.00719395,-0.00719395,0.00000000
2019-03-08,-0.00158511,-0.00158511,0.00000000
2019-03-15,0.01835536,0.01835536,0.00000000
2019-03-22,0.00007473,0.00007473,0.00000000
2019-03-29,0.00854368,0.00854368,0.00000000
2019-04-05,0.00991092,0.00991092,0.00000000
2019-04-12,0.00150373,0.00150373,0.00000000
2019-04-26,0.00203597,0.00203597,0.00000000
2019-05-03,0.00122120,0.00122120,0.00000000
2019-05-10,-0.01191220,-0.01191220,0.00000000
2019-05-17,-0.00423368,-0.00423368,0.00000000
2019-05-24,-0.00571573,-0.00571573,0.00000000
2019-05-31,-0.00427005,-0.00427005,0.00000000
2019-06-07,0.02391820,0.02391820,0.00000000
2019-06-14,0.00246522,0.00246522,0.00000000
2019-06-21,0.02199753,0.02199753,0.00000000
2019-06-28,0.00157993,0.00157993,0.00000000
2019-07-05,0.00475365,0.00475365,0.00000000
2019-07-12,-0.00024493,-0.00024493,0.00000000
2019-07-19,-0.00595612,-0.00595612,0.00000000
2019-07-26,0.00555269,0.00555269,0.00000000
2019-08-02,-0.00804487,-0.00804487,0.00000000
2019-08-09,0.00108448,0.00108448,0.00000000
2019-08-16,0.00214288,0.00214288,0.00000000
2019-08-23,-0.00276673,-0.00276673,0.00000000
2019-08-30,0.01732582,0.01732582,0.00000000
2019-09-06,0.00892542,0.00892542,0.00000000
2019-09-13,-0.00158063,-0.00158063,0.00000000
2019-09-20,0.01156596,0.01156596,0.00000000
2019-09-27,-0.01049705,-0.01049705,0.00000000
2019-10-04,0.00233871,0.00233871,0.00000000
2019-10-11,-0.00010253,-0.00010253,0.00000000
2019-10-18,0.00360209,0.00360209,0.00000000
2019-10-25,0.00924365,0.00924365,0.00000000
2019-11-01,0.00906903,0.00906903,0.00000000
2019-11-08,-0.01185431,-0.01185431,0.00000000
2019-11-15,0.00570830,0.00570830,0.00000000
2019-11-22,-0.00058364,-0.00058364,0.00000000
2019-11-29,0.00422771,0.00422771,0.00000000
2019-12-06,0.00419900,0.00419900,0.00000000
2019-12-13,0.00643991,0.00643991,0.00000000
2019-12-20,0.01101363,0.01101363,0.00000000
2019-12-27,0.00736510,0.00736510,0.00000000
2020-01-03,0.00395359,0.00395359,0.00000000
2020-01-10,0.00487458,0.00487458,0.00000000
2020-01-17,0.01037931,0.01037931,0.00000000
