,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-01-11,0.063323,0.058029,0.058521,0.076365,0.101592,0.108968,0.105883,0.085782,0.059755,0.142661,0.055058,0.084062
2019-01-18,0.086251,0.092449,0.085704,0.073381,0.063464,0.110019,0.122534,0.075074,0.080521,0.094409,0.060206,0.055987
2019-01-25,0.078248,0.095692,0.111552,0.078935,0.066270,0.060273,0.070243,0.063097,0.122501,0.066780,0.110119,0.076290
2019-02-01,0.097740,0.094154,0.094092,0.081315,0.077470,0.059168,0.063666,0.069181,0.094643,0.067122,0.102190,0.099259
2019-02-08,0.075136,0.063848,0.074493,0.085207,0.089458,0.098918,0.086743,0.093035,0.072894,0.089737,0.077817,0.092714
2019-02-15,0.085426,0.092456,0.078771,0.091650,0.098234,0.061456,0.068338,0.096481,0.078927,0.093298,0.077738,0.077225
2019-02-22,0.077902,0.095934,0.071822,0.066280,0.085999,0.096102,0.095810,0.101405,0.091367,0.074535,0.054638,0.088206
2019-03-01,0.088035,0.091227,0.091073,0.073119,0.061590,0.103652,0.088991,0.080047,0.087047,0.079870,0.068868,0.086483
2019-03-08,0.072232,0.063438,0.083079,0.074897,0.079961,0.095978,0.092639,0.071791,0.062092,0.123121,0.113570,0.067203
2019-03-15,0.106247,0.113791,0.115587,0.103956,0.102746,0.043983,0.048191,0.061486,0.093012,0.058661,0.080449,0.071892
2019-03-22,0.067394,0.068484,0.066663,0.067648,0.074009,0.112566,0.104534,0.107881,0.088140,0.075251,0.075843,0.091586
2019-03-29,0.099078,0.095363,0.105289,0.097732,0.095401,0.057879,0.059778,0.057709,0.081178,0.081926,0.087940,0.080726
2019-04-05,0.074456,0.096344,0.059684,0.077487,0.075518,0.074688,0.096096,0.092337,0.068121,0.124471,0.093483,0.067316
2019-04-12,0.061929,0.058035,0.058244,0.061359,0.054625,0.162293,0.141371,0.114912,0.076592,0.068706,0.061256,0.080678
2019-04-26,0.093359,0.098884,0.095573,0.089868,0.100402,0.077897,0.070732,0.062550,0.075610,0.075679,0.079876,0.079570
2019-05-03,0.085866,0.088659,0.076213,0.099498,0.101532,0.067464,0.066357,0.070707,0.090645,0.070832,0.113684,0.068543
2019-05-10,0.086635,0.096590,0.068489,0.071061,0.064930,0.089384,0.106219,0.096300,0.079096,0.081536,0.089670,0.070091
2019-05-17,0.088465,0.098654,0.099724,0.081953,0.091774,0.081102,0.073032,0.081700,0.079013,0.071255,0.068802,0.084527
2019-05-24,0.063298,0.057437,0.085164,0.067339,0.083723,0.103963,0.104195,0.086330,0.079716,0.128073,0.060651,0.080113
2019-05-31,0.084728,0.092065,0.078227,0.074134,0.068852,0.066646,0.072417,0.074126,0.084899,0.077485,0.146400,0.080021
2019-06-07,0.112949,0.101681,0.096410,0.094718,0.058577,0.050085,0.051132,0.060236,0.103099,0.051080,0.132340,0.087693
2019-06-14,0.042893,0.038594,0.057398,0.060635,0.094849,0.177845,0.150733,0.100807,0.060469,0.083359,0.063567,0.068850
2019-06-21,0.086682,0.083449,0.075965,0.089477,0.093761,0.083460,0.089520,0.088238,0.083798,0.109558,0.043153,0.072939
2019-06-28,0.102998,0.120113,0.102951,0.081667,0.066578,0.081651,0.078644,0.064318,0.084941,0.048577,0.063768,0.103794
2019-07-05,0.079283,0.096533,0.059303,0.069555,0.074113,0.069344,0.074334,0.090342,0.082862,0.106253,0.116576,0.081503
2019-07-12,0.054848,0.053307,0.057507,0.071421,0.089660,0.080929,0.090619,0.101005,0.072144,0.141702,0.138766,0.048094
2019-07-19,0.075145,0.070219,0.085844,0.083065,0.074991,0.138029,0.104217,0.111320,0.076171,0.058234,0.038633,0.084132
2019-07-26,0.106400,0.122436,0.089597,0.074484,0.070654,0.053254,0.052108,0.051461,0.084225,0.059179,0.125651,0.110550
2019-08-02,0.069705,0.072268,0.062064,0.083682,0.089128,0.089508,0.101303,0.085515,0.077138,0.121871,0.075329,0.072489
