,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-01-11,0.040445,0.039555,0.041264,0.042758,0.046288,0.168425,0.160863,0.122486,0.042699,0.153448,0.056511,0.085257
2019-01-18,0.081559,0.100547,0.081447,0.102557,0.092087,0.066321,0.060398,0.068876,0.101247,0.075037,0.094100,0.075825
2019-01-25,0.055264,0.062726,0.064861,0.063401,0.077113,0.124463,0.132470,0.075474,0.073909,0.129957,0.058255,0.082107
2019-02-01,0.071496,0.063567,0.066390,0.067287,0.070356,0.136711,0.137083,0.093261,0.085268,0.054955,0.078485,0.075141
2019-02-08,0.071387,0.089919,0.070425,0.071546,0.087484,0.103962,0.124397,0.091477,0.074924,0.078762,0.052340,0.083377
2019-02-15,0.084502,0.084499,0.085212,0.096222,0.100901,0.070052,0.076514,0.070395,0.088668,0.073962,0.082040,0.087034
2019-02-22,0.066865,0.090270,0.061945,0.062421,0.105360,0.096677,0.121611,0.093437,0.083932,0.078052,0.051092,0.088340
2019-03-01,0.081852,0.079692,0.079161,0.092197,0.077476,0.076023,0.075750,0.070694,0.092731,0.088818,0.093670,0.091936
2019-03-08,0.058489,0.058334,0.056650,0.060187,0.068926,0.119829,0.109766,0.087629,0.061356,0.126625,0.114019,0.078190
2019-03-15,0.094342,0.094891,0.086272,0.083051,0.101867,0.068369,0.073434,0.076261,0.095540,0.056339,0.086856,0.082778
2019-03-22,0.083827,0.072337,0.094478,0.070453,0.069784,0.071428,0.072478,0.074399,0.096423,0.082751,0.101994,0.109649
2019-03-29,0.115719,0.121503,0.118368,0.107420,0.111658,0.038839,0.039100,0.042430,0.081570,0.055864,0.092190,0.075337
2019-04-05,0.069979,0.068389,0.080409,0.075498,0.067719,0.095390,0.111379,0.096603,0.075392,0.084145,0.085475,0.089622
2019-04-12,0.078731,0.079697,0.070962,0.085133,0.076482,0.089367,0.091885,0.082376,0.084010,0.098559,0.082239,0.080557
2019-04-26,0.064938,0.072195,0.073630,0.065173,0.067655,0.125282,0.136017,0.088798,0.074991,0.085604,0.071688,0.074028
2019-05-03,0.078479,0.094891,0.069477,0.079853,0.083334,0.078357,0.070985,0.070060,0.079714,0.070477,0.145921,0.078451
2019-05-10,0.075519,0.060463,0.060105,0.076114,0.080294,0.096299,0.098083,0.074276,0.094800,0.085031,0.107499,0.091517
2019-05-17,0.075247,0.089642,0.083377,0.070252,0.076655,0.101421,0.102632,0.087395,0.076312,0.082728,0.082239,0.072100
2019-05-24,0.088482,0.102801,0.103406,0.082463,0.101105,0.060325,0.065508,0.068227,0.069346,0.090437,0.097304,0.070597
2019-05-31,0.084528,0.098262,0.068552,0.064685,0.088275,0.090013,0.099278,0.077088,0.101631,0.087281,0.054595,0.085811
2019-06-07,0.116880,0.125304,0.110250,0.095630,0.062846,0.043846,0.042949,0.058179,0.109812,0.045205,0.127843,0.061258
2019-06-14,0.076400,0.055876,0.091010,0.072721,0.092608,0.069873,0.072774,0.076758,0.098111,0.089509,0.098826,0.105534
2019-06-21,0.082384,0.096331,0.103956,0.097542,0.101028,0.068736,0.073541,0.076085,0.081417,0.078161,0.064431,0.076389
2019-06-28,0.072901,0.074345,0.089335,0.077332,0.073041,0.117197,0.109294,0.096588,0.083725,0.053779,0.060139,0.092324
2019-07-05,0.071687,0.085736,0.060948,0.071021,0.088925,0.092133,0.084799,0.070498,0.084730,0.077152,0.132627,0.079743
2019-07-12,0.067415,0.071460,0.057911,0.080315,0.075010,0.113767,0.113683,0.114396,0.082289,0.097560,0.057396,0.068795
2019-07-19,0.078709,0.076475,0.072487,0.087744,0.090166,0.089251,0.084735,0.086864,0.084077,0.072005,0.082265,0.095222
2019-07-26,0.086045,0.093655,0.082047,0.073645,0.076305,0.079628,0.087075,0.080332,0.076509,0.114636,0.053991,0.096131
2019-08-02,0.073639,0.066250,0.066146,0.087132,0.088798,0.085020,0.101688,0.085579,0.082909,0.089035,0.088349,0.085453
2019-08-09,0.101488,0.126420,0.105366,0.097012,0.092435,0.049264,0.060260,0.067368,0.080957,0.087225,0.067352,0.064853
2019-08-16,0.090983,0.101919,0.101730,0.084557,0.086845,0.079934,0.086150,0.092171,0.075550,0.080202,0.049837,0.070120
2019-08-23,0.053356,0.051880,0.049552,0.061532,0.064640,0.143068,0.131598,0.079174,0.073867,0.124406,0.094503,0.072424
2019-08-30,0.122364,0.122397,0.121918,0.097335,0.094536,0.039044,0.040819,0.050110,0.090077,0.039947,0.090717,0.090738
2019-09-06,0.079990,0.088913,0.082442,0.066787,0.063450,0.078832,0.078688,0.081272,0.083000,0.088205,0.132471,0.075951
2019-09-13,0.084003,0.092682,0.100780,0.075503,0.075491,0.061329,0.082870,0.065114,0.081146,0.124994,0.075269,0.080818
2019-09-20,0.067860,0.078226,0.061594,0.055263,0.056936,0.124128,0.123981,0.117940,0.074674,0.092631,0.064109,0.082660
2019-09-27,0.112867,0.141662,0.097424,0.096156,0.086346,0.049047,0.051083,0.052382,0.082974,0.056382,0.084217,0.089459
2019-10-04,0.089386,0.115114,0.091995,0.078110,0.096148,0.063761,0.062905,0.071734,0.077091,0.090109,0.082905,0.080742
2019-10-11,0.063607,0.061749,0.079376,0.082307,0.097221,0.074154,0.091179,0.077572,0.089945,0.112158,0.074618,0.096112
2019-10-18,0.058963,0.055161,0.052643,0.050882,0.058855,0.147441,0.148875,0.107302,0.066876,0.113420,0.052729,0.086853
2019-10-25,0.094887,0.117427,0.091846,0.078070,0.088064,0.080923,0.073473,0.071499,0.076990,0.082896,0.077979,0.065947
2019-11-01,0.071061,0.063460,0.069980,0.078649,0.068552,0.115472,0.113798,0.101328,0.078406,0.075213,0.063494,0.100587
2019-11-08,0.068474,0.070038,0.057726,0.071762,0.066950,0.124816,0.131415,0.092411,0.074333,0.095225,0.049289,0.097561
2019-11-15,0.070288,0.067766,0.070405,0.077536,0.095554,0.104602,0.097396,0.091367,0.072604,0.103705,0.067396,0.081381
2019-11-22,0.069821,0.070853,0.077158,0.072977,0.073676,0.102768,0.107960,0.093119,0.075546,0.104418,0.071664,0.080040
2019-11-29,0.079882,0.087488,0.078180,0.077400,0.084702,0.083701,0.093335,0.070333,0.068878,0.095515,0.087205,0.093380
2019-12-06,0.079438,0.083827,0.083704,0.083469,0.096076,0.080435,0.078836,0.084979,0.078314,0.054425,0.121720,0.074777
2019-12-13,0.060534,0.058606,0.059559,0.062473,0.070742,0.121968,0.126625,0.092374,0.076662,0.128120,0.063319,0.079016
2019-12-20,0.098437,0.090253,0.115263,0.077538,0.098978,0.055098,0.054202,0.058340,0.093174,0.082553,0.077851,0.098312
2019-12-27,0.073374,0.075904,0.082558,0.082767,0.080161,0.081842,0.089533,0.091412,0.095349,0.082563,0.089160,0.075375
2020-01-03,0.087358,0.091517,0.101816,0.079343,0.075677,0.082135,0.074348,0.077329,0.087820,0.086565,0.077387,0.078705
2020-01-10,0.116304,0.124629,0.096885,0.122304,0.125829,0.043499,0.044942,0.062732,0.090014,0.049857,0.051463,0.071542
2020-01-17,0.102085,0.102872,0.101837,0.099746,0.076147,0.057508,0.071093,0.071201,0.086495,0.069452,0.087193,0.074371
2020-01-24,0.073018,0.069670,0.089413,0.072856,0.069713,0.133251,0.094839,0.086044,0.085838,0.075987,0.070110,0.079262
2020-01-31,0.103366,0.103508,0.106383,0.082208,0.086746,0.050326,0.052251,0.063556,0.095017,0.058002,0.121261,0.077376
2020-02-07,0.114244,0.112371,0.112068,0.104533,0.100903,0.044908,0.044105,0.053840,0.084982,0.052432,0.090516,0.085098
2020-02-14,0.097458,0.095437,0.114144,0.104588,0.107189,0.046878,0.049456,0.057746,0.085220,0.068770,0.097028,0.076086
2020-02-21,0.085500,0.083268,0.103049,0.093997,0.087122,0.072672,0.070357,0.074555,0.090509,0.076187,0.091137,0.071646
2020-02-28,0.116094,0.136506,0.107931,0.089404,0.088302,0.050447,0.052686,0.066435,0.082085,0.048232,0.090971,0.070905
2020-03-06,0.091595,0.074771,0.123032,0.092243,0.081143,0.037574,0.037350,0.039575,0.057880,0.118340,0.127778,0.118720
2020-03-13,0.110886,0.113059,0.110233,0.101617,0.101965,0.028710,0.031217,0.036986,0.108442,0.059704,0.101831,0.095350
2020-03-20,0.045735,0.046044,0.048166,0.048478,0.049740,0.171350,0.182144,0.045876,0.048977,0.166521,0.097656,0.049312
2020-03-27,0.104271,0.109425,0.119885,0.112359,0.070574,0.030483,0.030716,0.034940,0.108552,0.049506,0.116507,0.112783
2020-04-03,0.118530,0.117301,0.118446,0.116040,0.112080,0.035153,0.038715,0.079047,0.051810,0.084015,0.070393,0.058470
2020-04-17,0.101301,0.101786,0.113213,0.106444,0.091238,0.053169,0.055940,0.097047,0.112278,0.049082,0.036010,0.082491
2020-04-24,0.041820,0.069327,0.039514,0.043928,0.053887,0.165665,0.146799,0.076353,0.072292,0.159564,0.082735,0.048116
2020-05-01,0.050443,0.049290,0.050167,0.056806,0.085072,0.075537,0.085331,0.094061,0.139453,0.104556,0.134741,0.074543
2020-05-08,0.104627,0.106459,0.105688,0.092373,0.097719,0.040665,0.047681,0.077801,0.104157,0.044022,0.083946,0.094861
2020-05-15,0.048372,0.055459,0.039871,0.052146,0.054340,0.163853,0.150916,0.154464,0.050191,0.133679,0.042384,0.054325
2020-05-22,0.074161,0.070211,0.054716,0.085317,0.125657,0.112553,0.103827,0.066269,0.081295,0.070687,0.057103,0.098203
2020-05-29,0.079778,0.076556,0.072507,0.093409,0.134767,0.063152,0.070330,0.089307,0.072141,0.066998,0.118254,0.062802
2020-06-05,0.088654,0.058335,0.131671,0.118808,0.064820,0.069619,0.072873,0.056662,0.079376,0.075806,0.049372,0.134003
2020-06-12,0.045047,0.050559,0.042848,0.058487,0.053645,0.176332,0.179326,0.068390,0.057014,0.173992,0.046612,0.047748
2020-06-19,0.063785,0.080494,0.049375,0.056424,0.059281,0.174709,0.151285,0.067621,0.054021,0.104831,0.089031,0.049143
2020-06-26,0.103083,0.082049,0.095639,0.093128,0.077281,0.077255,0.077811,0.075137,0.100677,0.052179,0.055224,0.110536
